Transporter	Inhibitor	Ki(µM)	IC50(µM)	Substrate used	Cell System	References
MDR1	Terfenadine	NA	1.1	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Ketoconazole	NA	1	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Nicardipine	NA	1	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Pimozide	NA	0.8	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Cyclosporin A	NA	0.5	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Verapamil	NA	0.4	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Nelfinavir	NA	0.4	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Astemizole	NA	0.3	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Ivermectin	NA	0.2	Calcein-AM	MDR1 expressing porcine PBCEC cells	CHEMBL1136781
MDR1	Diltiazem	NA	49	Calcein-AM	MDR1 expressing A2780/ADR cells	CHEMBL1152794
MDR1	Verapamil	NA	5.2	Calcein-AM	MDR1 expressing A2780/ADR cells	CHEMBL1152794
MDR1	Cyclosporin A	NA	1.4	Calcein-AM	MDR1 expressing A2780/ADR cells	CHEMBL1152794
MDR1	Digoxin	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Ranitidine	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Morphine	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Vinblastine	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Midazolam	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Hydrocortisone	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Cimetidine	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Dpdpe	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Em-A	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Dexamethasone	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Ritonavir	NA	12	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Saquinavir	NA	12	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Clotrimazole	NA	6.7	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Verapamil	NA	6.3	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Quinidine	NA	5.6	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Ketoconazole	NA	4.8	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Miconazole	NA	3.5	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Nelfinavir	NA	3.4	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Pimozide	NA	2.9	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Nicardipine	NA	2.3	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Itraconazole	NA	2.1	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Mibefradil	NA	1.8	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Terfenadine	NA	1.4	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Astemizole	NA	1.3	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Csa	NA	0.8	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Ivermectin	NA	0.1	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Ranitidine	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Etoposide (Vp-16)	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Midazolam	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Colchicine	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Cimetidine	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Sid11533002	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Enkephalin (Dpdpe)	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Vinblastine	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Dexamethasone	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Hydrocortisone	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Morphine	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Erythromycin	NA	50	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Saquinavir	NA	12	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Ritonavir	NA	12	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Clotrimazole	NA	6.7	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Verapamil	NA	6.3	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Quinidine	NA	5.6	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Ketoconazole	NA	4.8	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Miconazole	NA	3.5	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Nelfinavir	NA	3.4	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Pimozide	NA	2.9	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Nicardipine	NA	2.3	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Itc	NA	2.1	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Mibefradil	NA	1.8	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Terfenadine	NA	1.4	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Astemizole	NA	1.3	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Ivermectin	NA	0.1	Calcein-AM	MDR1 expressing LLC-PK1 cells	CHEMBL1136781
MDR1	Vinblastinc	NA	29	Calcein-AM	MDR1 expressing MDCK cells	CHEMBL2073750
MDR1	Atorvastatin Lactone	NA	14	Calcein-AM	MDR1 expressing MDCK cells	CHEMBL2073750
MDR1	Simvastatin Lactone	NA	10	Calcein-AM	MDR1 expressing MDCK cells	CHEMBL2073750
MDR1	Lovastatin Lactone	NA	10	Calcein-AM	MDR1 expressing MDCK cells	CHEMBL2073750
MDR1	Quinine	NA	167.8	Calcein-AM	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Clarithromycin	NA	56.1	Calcein-AM	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Emetine	NA	35.1	Calcein-AM	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Verapamil	NA	28.9	Calcein-AM	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Nicardipine	NA	6.6	Calcein-AM	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Reserpine	NA	2.6	Calcein-AM	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	7; Csa	NA	1.7	Calcein-AM	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Verapamil	NA	6.6	Hoechst 33342	MDR1 expressing A2780/ADR cells	CHEMBL1144049
MDR1	Cyclosporin A	NA	1.4	Hoechst 33342	MDR1 expressing A2780/ADR cells	CHEMBL1144049
MDR1	Verapamil	NA	1.7	Hoechst 33342	Hela cells	CHEMBL3217430
MDR1	Progesterone	NA	47.9	Hoechst 33342	MDR1 expressing A2780/ADR cells	CHEMBL1156730
MDR1	Diltiazem	NA	42.7	Hoechst 33342	MDR1 expressing A2780/ADR cells	CHEMBL1156730
MDR1	Imatinib	NA	7.2	Hoechst 33342	MDR1 expressing A2780/ADR cells	CHEMBL1156730
MDR1	Nicardipine	NA	4.8	Hoechst 33342	MDR1 expressing A2780/ADR cells	CHEMBL1156730
MDR1	Verapamil	NA	4.6	Hoechst 33342	MDR1 expressing A2780/ADR cells	CHEMBL1156730
MDR1	Reserpine	NA	3.2	Hoechst 33342	MDR1 expressing A2780/ADR cells	CHEMBL1156730
MDR1	Cyclosporine	NA	1.4	Hoechst 33342	MDR1 expressing A2780/ADR cells	CHEMBL1156730
MDR1	Amiodarone	NA	45.6	Digoxin	MDR1 expressing LLC-PK1 cells	CHEMBL2074031
MDR1	Desmethylazelastine	NA	41.8	Digoxin	MDR1 expressing LLC-PK1 cells	CHEMBL2074031
MDR1	Azelastine	NA	30	Digoxin	MDR1 expressing LLC-PK1 cells	CHEMBL2074031
MDR1	Desethylamiodarone	NA	25.2	Digoxin	MDR1 expressing LLC-PK1 cells	CHEMBL2074031
MDR1	Verapamil	NA	224	Digoxin	MDR1 expressing LLC-PK1 cells	CHEMBL2073826
MDR1	Nifedipine	NA	472	Digoxin	MDR1 expressing LLC-PK1 cells	CHEMBL2074487
MDR1	Diltiazem	NA	77.7	Digoxin	MDR1 expressing LLC-PK1 cells	CHEMBL2074487
MDR1	Nitrendipine	NA	68.2	Digoxin	MDR1 expressing LLC-PK1 cells	CHEMBL2074487
MDR1	Nisoldipine	NA	44.1	Digoxin	MDR1 expressing LLC-PK1 cells	CHEMBL2074487
MDR1	Nilvadipine	NA	18	Digoxin	MDR1 expressing LLC-PK1 cells	CHEMBL2074487
MDR1	Efonidipine	NA	13	Digoxin	MDR1 expressing LLC-PK1 cells	CHEMBL2074487
MDR1	Barnidipine	NA	12.6	Digoxin	MDR1 expressing LLC-PK1 cells	CHEMBL2074487
MDR1	Benidipine	NA	5	Digoxin	MDR1 expressing LLC-PK1 cells	CHEMBL2074487
MDR1	Manidipine	NA	4.7	Digoxin	MDR1 expressing LLC-PK1 cells	CHEMBL2074487
MDR1	Nicardipine	NA	4.5	Digoxin	MDR1 expressing LLC-PK1 cells	CHEMBL2074487
MDR1	Alfentanil	NA	112	Digoxin	Caco-2 cells	CHEMBL2073764
MDR1	Fentanyl	NA	6.5	Digoxin	Caco-2 cells	CHEMBL2073764
MDR1	Sulfentanil	NA	4.5	Digoxin	Caco-2 cells	CHEMBL2073764
MDR1	Loperamide	NA	2.5	Digoxin	Caco-2 cells	CHEMBL2073764
MDR1	Indinavir	NA	44	Digoxin	Caco-2 cells	CHEMBL2073925
MDR1	Saquinavir	NA	6.5	Digoxin	Caco-2 cells	CHEMBL2073925
MDR1	Ritonavir	NA	3.8	Digoxin	Caco-2 cells	CHEMBL2073925
MDR1	Quinidine	NA	2.2	Digoxin	Caco-2 cells	CHEMBL2073925
MDR1	Verapamil	NA	2.1	Digoxin	Caco-2 cells	CHEMBL2073925
MDR1	Cyclosporin A	NA	1.3	Digoxin	Caco-2 cells	CHEMBL2073925
MDR1	Ketoconazole	NA	1.2	Digoxin	Caco-2 cells	CHEMBL2073925
MDR1	Psc-833 (Valspodar)	NA	0.1	Digoxin	Caco-2 cells	CHEMBL2073925
MDR1	Mibefradil	NA	1.6	Digoxin	Caco-2 cells	CHEMBL2073991
MDR1	Piperine	NA	15.5	Digoxin	Caco-2 cells	CHEMBL2073998
MDR1	Lansoprazole	NA	62.8	Digoxin	Caco-2 cells	CHEMBL2074158
MDR1	Pantoprazole	NA	17.9	Digoxin	Caco-2 cells	CHEMBL2074158
MDR1	Norverapamil	NA	0.3	Digoxin	Caco-2 cells	CHEMBL2074351
MDR1	Mibefradil	NA	1.2	Digoxin	Caco-2 cells	CHEMBL2074392
MDR1	Cyclosporin A	NA	3.7	Digoxin	MDR1 expressing LLC-PK1 cells	CHEMBL2073840
MDR1	Sertindole	NA	6.5	Rhodamine 123	MDR1 expressing L5178 cells	CHEMBL1777785
MDR1	Ebastine	NA	1.5	Rhodamine 123	MDR1 expressing L5178 cells	CHEMBL1777785
MDR1	Aripiprazole	NA	0.8	Rhodamine 123	MDR1 expressing L5178 cells	CHEMBL1777785
MDR1	Cyclosporine A	NA	0.7	Rhodamine 123	MDR1 expressing L5178 cells	CHEMBL1777785
MDR1	Verapamil	NA	9.8	Rhodamine 123	MDR1 expressing MDCK cells	CHEMBL1681785
MDR1	Lopinavir	NA	1.7	Rhodamine 123	MDR1 expressing Caco-2 cells	CHEMBL2073849
MDR1	Progesterone	NA	192.2	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Lovastatin Lactone	NA	114.4	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Quinine	NA	87.6	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Troleandomycin	NA	86.3	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Taxol (Paclitaxel)	NA	70.2	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Felodipine	NA	60	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Simvastatin	NA	56.8	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Ketoconazole	NA	53.4	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Dipyridamole	NA	34.3	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Quinidine	NA	33.9	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Tamoxifen	NA	31.4	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Vinblastine	NA	29.5	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Nicardipine	NA	25.8	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Clarithromycin	NA	15.1	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Trifluoperazine	NA	10.9	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Fluphenazine	NA	10.4	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Sid170465705	NA	9.6	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	N-Norgallopamil	NA	8.6	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Carvedilol	NA	6.6	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Verapamil	NA	6.5	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Reserpine	NA	3.9	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Terfenadine	NA	2.7	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Csa	NA	1.7	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Clofazimine	NA	1	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074145
MDR1	Nefazodone	NA	4.7	Rhodamine 123	NIH-3T3-G185 cells	CHEMBL2074564
MDR1	Methadone	NA	7.5	Rhodamine 123	Caco-2 cells	CHEMBL2073747
MDR1	Sirolimus	NA	1.3	Rhodamine 123	Caco-2 cells	CHEMBL2074450
MDR1	Atorvastatin	NA	307	Rhodamine 123	MDR1 expressing 3T3-G185 cells	CHEMBL2073743
MDR1	Lovastatin	NA	67	Rhodamine 123	MDR1 expressing 3T3-G185 cells	CHEMBL2073743
MDR1	Simvastatin	NA	46	Rhodamine 123	MDR1 expressing 3T3-G185 cells	CHEMBL2073743
MDR1	Niguldipine	NA	0.7	Daunorubicin	MDR1 exressing CCRF-cEM/VCR 1000 cells	CHEMBL2057194
