Transporter	Inhibitor	Ki	IC50	CellSystem	Substrate	Reference
ABCC5	zaprinast		250	MRP4-expressing HEK293 vesicles	9-(2-phosphonomethoxyethyl)adenine-(pmea)	12695538
ABCC5	zaprinast		32.3	MRP5-expressing HEK293 vesicles	carboxydichlorofluorescein	16337112
ABCG2	17beta-estradiol-3-sulfate		14	BCRP-expressing vesicles from mouse lymphoma (P388) cells	estrone-3-sulfate	12682043
ABCG2	abacavir		385	MDCK II-BCRP	pheophorbide-a	17202245
ABCG2	amprenavir		181	MDCK II-BCRP	pheophorbide-a	17202245
ABCG2	atazanavir		69.1	MDCK II-BCRP	pheophorbide-a	17202245
ABCG2	atorvastatin	14.3		BCRP-expressing HEK293 vesicles	estrone-3-sulfate	15955871
ABCG2	cerivastatin	18.1		BCRP-expressing HEK293 vesicles	estrone-3-sulfate	15955871
ABCG2	daunomycin		59	BCRP-expressing vesicles from mouse lymphoma (P388) cells	estrone-3-sulfate	12682043
ABCG2	dehydroepiandrosterone-sulfate		55	BCRP-expressing vesicles from mouse lymphoma (P388) cells	estrone-3-sulfate	12682043
ABCG2	delavirdine		18.7	MDCK II-BCRP	pheophorbide-a	17202245
ABCG2	efavirenz		20.6	MDCK II-BCRP	pheophorbide-a	17202245
ABCG2	erlotinib	0.15	0.13	BCRP-expressing K562 vesicles	estrone-3-sulfate	19493273
ABCG2	fluvastatin	5.43		BCRP-expressing HEK293 vesicles	estrone-3-sulfate	15955871
ABCG2	fumitremorgin-c	0.55	0.25	BCRP-expressing K562 vesicles	estrone-3-sulfate	19493273
ABCG2	fumitremorgin-c		0.47	MDCK II-BCRP	pheophorbide-a	17202245
ABCG2	ko143		0.01	MDCK II-BCRP	pheophorbide-a	17202245
ABCG2	lopinavir		7.66	MDCK II-BCRP	pheophorbide-a	17202245
ABCG2	nelfinavir		13.5	MDCK II-BCRP	pheophorbide-a	17202245
ABCG2	nilotinib	0.69		BCRP-expressing HEK293 vesicles	methotrexate	19427995
ABCG2	pitavastatin	2.92		BCRP-expressing HEK293 vesicles	estrone-3-sulfate	15955871
ABCG2	rosuvastatin	15.4		BCRP-expressing HEK293 vesicles	estrone-3-sulfate	15955871
ABCG2	saquinavir		27.4	MDCK II-BCRP	pheophorbide-a	17202245
ABCG2	simvastatin	18		BCRP-expressing HEK293 vesicles	estrone-3-sulfate	15955871
ABCG2	sn-38		1.6	BCRP-expressing vesicles from mouse lymphoma (P388) cells	estrone-3-sulfate	12682043
OSTalpha	bilirubin-ditaurate		>200	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
OSTbeta	bilirubin-ditaurate		>200	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
OSTalpha	digoxin		<500	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
OSTbeta	digoxin		<500	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
OSTalpha	estrone-3-sulfate		>200	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
OSTbeta	estrone-3-sulfate		>200	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
OSTalpha	glycolithocholic-acid		~200	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
OSTbeta	glycolithocholic-acid		~200	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
OSTalpha	glycolithocholic-acid-sulfate		~200	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
OSTbeta	glycolithocholic-acid-sulfate		~200	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
OSTalpha	indomethacin		~200	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
OSTbeta	indomethacin		~200	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
OSTalpha	lithocholic-acid-sulfate		<200	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
OSTbeta	lithocholic-acid-sulfate		<200	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
OSTalpha	spironolactone		>200	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
OSTbeta	spironolactone		>200	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
OSTalpha	taurolithocholate		200	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
OSTbeta	taurolithocholate		200	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
OSTalpha	taurolithocholic-acid-sulfate		<200	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
OSTbeta	taurolithocholic-acid-sulfate		<200	OSTalpha-OSTbeta expressing oocytes	estrone-3-sulfate	12719432
SLC10A1	(r)-propanolol		5.5	HeLa-NTCP	taurocholate	10565843
SLC10A1	(s)-propanolol		6.1	HeLa-NTCP	taurocholate	10565843
SLC10A1	bromsulphthalein-(bsp)		7.3	HeLa-NTCP	taurocholate	10565843
SLC10A1	cholate		5.3	HeLa-NTCP	taurocholate	10565843
SLC10A1	cyclosporine		0.37	HeLa-NTCP	rosuvastatin	16697742
SLC10A1	cyclosporine		1	HeLa-NTCP	taurocholate	10565843
SLC10A1	furosemide		15	HeLa-NTCP	taurocholate	10565843
SLC10A1	gemfibrozil		23	HeLa-NTCP	rosuvastatin	16697742
SLC10A1	ketoconazole		264	HeLa-NTCP	taurocholate	10565843
SLC10A1	ursodeoxycholate		3.6	HeLa-NTCP	taurocholate	10565843
SLC10A1	bosentan	18		HEK293-ASBT	taurocholate	17374746
SLC10A2	chenodeoxycholate	3.3		COS1-ASBT	taurocholate	9458785
SLC10A2	cholate	41.5		COS1-ASBT	taurocholate	9458785
SLC10A2	deoxycholate	6.3		COS1-ASBT	taurocholate	9458785
SLC10A2	taurochenodeoxycholate	6.1		COS1-ASBT	taurocholate	9458785
SLC10A2	taurodeoxycholate	17.2		COS1-ASBT	taurocholate	9458785
SLC10A2	tauroursodeoxycholate	28		COS1-ASBT	taurocholate	9458785
SLC10A2	ursodeoxycholate	75		COS1-ASBT	taurocholate	9458785
SLC15A1	fosinopril	35.5		Caco-2	glycylsarcosine	11560874
SLC15A1	glycyl-proline	160		Caco-2	glycylsarcosine	10561591
SLC15A1	irbesartan	230		Caco-2	glycylsarcosine	18824524
SLC15A1	losartan	52		HeLa-PEPT1	glycylsarcosine	18824524
SLC15A1	losartan	24		Caco-2	glycylsarcosine	18824524
SLC15A1	valacyclovir	910		CHO-PEPT1	cefadroxil	10087037
SLC15A1	valacyclovir	4080		PEPT1-expressing oocytes	glycylsarcosine	9753615
SLC15A1	valacyclovir	1280		CHO-PEPT1	glycylsarcosine	10087037
SLC15A1	valsartan	560		HeLa-PEPT1	glycylsarcosine	18824524
SLC15A1	valsartan	390		Caco-2	glycylsarcosine	18824524
SLC15A2	amoxicillin	733		MDCK-PEPT2	glycylsarcosine	16434549
SLC15A2	cefaclor	65		MDCK-PEPT2	glycylsarcosine	16434549
SLC15A2	losartan	2.4		HeLa-PEPT2	glycylsarcosine	18824524
SLC15A2	valsartan	110		HeLa-PEPT2	glycylsarcosine	18824524
SLC22A1	s-(+)-disopyramide		29.9	HeLa-OCT1	tetraethylammonium	9655880
SLC22A1	verapamil-(racemic)	2.9		HeLa-OCT1	tetraethylammonium	9655880
SLC22A1	verapamil-(racemic)		1.23	HEK293-OCT1	ym155	19833842
SLC22A1	3_4-methylenedioxymetamphetamine-(mdma)	24.2		HEK293-OCT1	n-methylpyridinium	16581093
SLC22A1	amantadine	236		HEK293-OCT1	n-methylpyridinium	16581093
SLC22A1	amantadine		39.6	HEK293-OCT1	ym155	19833842
SLC22A1	amitriptyline		6.99	HEK293-OCT1	metformin	20567254
SLC22A1	atropine		1.2	HEK293-OCT1	n-methylpyridinium	16263091
SLC22A1	butylscopolamine		16	HEK293-OCT1	n-methylpyridinium	16263091
SLC22A1	cimetidine		149	HEK293-OCT1	ym155	19833842
SLC22A1	clonidine		6.5	HEK293-OCT1	n-methylpyridinium	16263091
SLC22A1	clonidine	0.55		HeLa-OCT1	tetraethylammonium	9655880
SLC22A1	cocaine	85		HEK293-OCT1	n-methylpyridinium	16581093
SLC22A1	corticosterone		8.89	HEK293-OCT1	ym155	19833842
SLC22A1	d-amphetamine	202		HEK293-OCT1	n-methylpyridinium	16581093
SLC22A1	decynium-22		21.9	OCT1-expressing oocytes	tetraethylammonium	10082798
SLC22A1	decynium-22	2.73		HeLa-OCT1	tetraethylammonium	9655880
SLC22A1	diphenhydramine		3.4	HEK293-OCT1	n-methylpyridinium	16263091
SLC22A1	etilefrine		447	HEK293-OCT1	n-methylpyridinium	16263091
SLC22A1	famotidine		28	OCT1-expressing oocytes	n-methylpyridinium	16141367
SLC22A1	furamidine		7.4	CHO-OCT1	n-methylpyridinium	18971316
SLC22A1	glyburide		199	HEK293-OCT1	metformin	20567254
SLC22A1	ketamine	114.5		HEK293-OCT1	n-methylpyridinium	16581093
SLC22A1	memantine	3.7		HEK293-OCT1	n-methylpyridinium	16581093
SLC22A1	metformin		1231	OCT1-expressing oocytes	n-methylpyridinium	16141367
SLC22A1	mk-801	80.5		HEK293-OCT1	n-methylpyridinium	16581093
SLC22A1	n-methylpyridinium		30.4	HEK293-OCT1	ym155	19833842
SLC22A1	pentamidine		16.4	CHO-OCT1	n-methylpyridinium	18971316
SLC22A1	phencyclidine	4.4		HEK293-OCT1	n-methylpyridinium	16581093
SLC22A1	pioglitazone		185	HEK293-OCT1	metformin	20567254
SLC22A1	prazosin		1.56	HEK293-OCT1	ym155	19833842
SLC22A1	procainamide		51.3	HEK293-OCT1	ym155	19833842
SLC22A1	quinidine		5.7	CHO-OCT1	n-methylpyridinium	18971316
SLC22A1	quinidine		6.7	OCT1-expressing oocytes	n-methylpyridinium	16141367
SLC22A1	quinidine	17.5		HeLa-OCT1	tetraethylammonium	9655880
SLC22A1	quinidine		7.11	HEK293-OCT1	ym155	19833842
SLC22A1	quinine		13	HEK293-OCT1	n-methylpyridinium	16263091
SLC22A1	quinine	22.9		HeLa-OCT1	tetraethylammonium	9655880
SLC22A1	r-(-)-disopyramide		15.4	HeLa-OCT1	tetraethylammonium	9655880
SLC22A1	ranitidine		28	HEK293-OCT1	n-methylpyridinium	16263091
SLC22A1	ranitidine		33	OCT1-expressing oocytes	n-methylpyridinium	16141367
SLC22A1	repaglinide		1.6	MDCK II-OCT1	metformin	18314419
SLC22A1	repaglinide		1.8	MDCK II-OCT1	n-methylpyridinium	18314419
SLC22A1	rosiglitazone		6.9	MDCK II-OCT1	metformin	18314419
SLC22A1	rosiglitazone		30.4	MDCK II-OCT1	n-methylpyridinium	18314419
SLC22A1	simvastatin		89	HEK293-OCT1	metformin	20567254
SLC22A1	tetraethylammonium		216	OCT1-expressing oocytes	n-methylpyridinium	16141367
SLC22A1	tetraethylammonium		469.7	CHO-OCT1	n-methylpyridinium	18971316
SLC22A1	tetraethylammonium	158		OCT1-expressing oocytes	n-methylpyridinium	10688634
SLC22A1	tetraethylammonium		167	OCT1-expressing oocytes	tetraethylammonium	10082798
SLC22A1	tubocurarine		62.4	HEK293-OCT1	ym155	19833842
SLC22A1	verapamil		0.62	HEK293-OCT1	metformin	20567254
SLC22A1	ym155		23.8	HEK293-OCT1	n-methylpyridinium	19833842
SLC22A11	acetazolamide		425	S2-OAT4	estrone-3-sulfate	14610216
SLC22A11	betamipron	502		S2-OAT4	prostaglandin-f2alpha	12023506
SLC22A11	bumetanide		348	S2-OAT4	estrone-3-sulfate	14610216
SLC22A11	candesartan		60	HEK293-OAT4	uric-acid	17674156
SLC22A11	chlorothiazide		2632	S2-OAT4	estrone-3-sulfate	14610216
SLC22A11	citrinin	366.4		S2-OAT4	ochratoxin-a	12063169
SLC22A11	diclofenac		34.5	S2-OAT4	estrone-3-sulfate	12388633
SLC22A11	ethacrynic-acid		8.76	S2-OAT4	estrone-3-sulfate	14610216
SLC22A11	furosemide		44.5	S2-OAT4	estrone-3-sulfate	14610216
SLC22A11	ibuprofen		103	S2-OAT4	estrone-3-sulfate	12388633
SLC22A11	indomethacin		10.1	S2-OAT4	estrone-3-sulfate	12388633
SLC22A11	ketoprofen		70.3	S2-OAT4	estrone-3-sulfate	12388633
SLC22A11	kw-3902	20.7		S2-OAT4	prostaglandin-f2alpha	12023506
SLC22A11	losartan		18	HEK293-OAT4	uric-acid	17674156
SLC22A11	mefenamic-acid		61.7	S2-OAT4	estrone-3-sulfate	12388633
SLC22A11	naproxen		85.4	S2-OAT4	estrone-3-sulfate	12388633
SLC22A11	novobiocin	90.5	92.68	COS7-OAT4	estrone-3-sulfate	19282394
SLC22A11	octanoate	235.5		S2-OAT4	ochratoxin-a	12063169
SLC22A11	olmesartan		4.4	HEK293-OAT4	uric-acid	17674156
SLC22A11	piroxicam		84.9	S2-OAT4	estrone-3-sulfate	12388633
SLC22A11	piroxicam	107.8		S2-OAT4	ochratoxin-a	12063169
SLC22A11	pratosartan		31	HEK293-OAT4	uric-acid	17674156
SLC22A11	probenecid	44.4		S2-OAT4	ochratoxin-a	12063169
SLC22A11	probenecid	54.9		S2-OAT4	prostaglandin-f2alpha	12023506
SLC22A11	sulindac		617	S2-OAT4	estrone-3-sulfate	12388633
SLC22A11	telmisartan		1.2	HEK293-OAT4	uric-acid	17674156
SLC22A11	trichloromethiazide		1505	S2-OAT4	estrone-3-sulfate	14610216
SLC22A11	valsartan		26	HEK293-OAT4	uric-acid	17674156
SLC22A12	benzbromarone		0.13	HEK293-URAT1	uric-acid	20075570
SLC22A12	benzbromarone		~0.3	HEK293-URAT1	uric-acid	17325024
SLC22A12	fenofibric-acid		35.68	HEK293-URAT1	uric-acid	20075570
