Transporter	Inhibitor	IC50 (_M)	Ki (_M)	Substrate used	Cell System	Reference
SLCO2B1	ezetimibe	1.8		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	lornoxicam	1.8		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	glyburide	1.9		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	dipyridamole	2		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	silymarin	2.5		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	estradiol	2.7		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	sulfasalazine	2.7		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	olsalazine	2.8		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	novobiocin	3.4		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	felodipine	3.5		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	reserpine	3.5		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	olmesartan	4.71		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	ticagrelor	4.8		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	ketoconazole	5.7		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	prasurgel	5.9		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	latanoprost	6.76		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	raloxifene	7.4		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	calcitriol	7.5		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	losartan potassium	8		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	simvastatin	9.4		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	lovastatin	9.92		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	levothyroxine	10.4		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	drospirenone	11.1		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	diflunisal	12		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	loratidine	13.3		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	celecoxib	13.7		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	norethindrone	14.2		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	doxazosin mesylatee	15		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	indomethacin	16.3		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	bicalutamide	16.3		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	quetiapine fumarate	19.1		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	diacerein	19.98		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	itraconazole	24.8		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	oxybutynin	27.79		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	desogestrel	30.3		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	flutamide	32.4		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	piroxicam	35.42		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
SLCO2B1	vilazodone hydrochloride	47.1		Dibromofluorescein	HEK293-OATP2B1	https://www-ncbi-nlm-nih-gov.ucsf.idm.oclc.org/pubmed/31834804
