Transporter	Inhibitor	KI (µM)	IC50 (µM)	Substrate used	Cell system	References
MRP2	Rubitecan		60.5	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Valrubicin		64	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Reserpine		68.4	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Repaglinide		72.3	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Leuprolide acetate		80.2	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	EPALRESTAT		84.4	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cefixime		89.4	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Foscarnet sodium		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nefopam		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Orlistat		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Thiotepa		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Voriconazole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Hydrochlorothiazide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Isoxicam		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Melphalan		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Metformin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Vorinostat		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Zolpidem tartrate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tiapride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Terlipressin acetate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Venlafaxine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Roquinimex		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Fluvoxamine maleate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Talniflumate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Fluoxetine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	MINOXIDIL		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nateglinide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Sumatriptan		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Zaleplon		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Pindolol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ramipril		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Remoxipride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	RIBAVIRIN		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Risperidone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	D(-)-Norgestrel		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nimesulide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Famciclovir		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Vigabtrin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ethosuximide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ethambutol dihydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Dutasteride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Doxazosin Mesylate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cefdinir		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tacrine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Aspirin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Azlocillin sodium		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Bronopol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Decitabine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	M-AMSA		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Mebendazole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Amlodipine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Alendronate sodium		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Alprenolol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Atropine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Donepezil		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Dipyridamole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Sunitinib malate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Alprostadil		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Lornoxicam		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Quercetin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nisoldipine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Gefitinib		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Oxymetholone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Exemestane		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Maraviroc		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Isradipine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Enfuvirtide acetate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Bromopride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Celecoxib		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ciclesonide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Acecainide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Agomelatine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Colchicine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Dofetilide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	DOX		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Chlorzoxazone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Erythromycin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Bifonazole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	1-Naphthylisothiocyanate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Dinoprost tromethamine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Abiraterone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Acipimox		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Enoxacin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	methimazole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Oxcarbazepine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Flutamide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Zonisamide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Minocycline hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Topiramate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nevirapine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nitrazepam		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Probenecid		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	ranitidine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Rivaroxaban		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Rocuronium bromide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Zileuton		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Zolmitriptan		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Maxipost		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tadalafil		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tenoxicam		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tetracycline		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Metronidazole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Mizoribine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Phenacetin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tinidazole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Tobramycin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cidofovir		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Clarithromycin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Diltiazem		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Emetine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Clopamide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Dexchlorpheniramine maleate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Pyrazinamide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Sulfacetamide sodium		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Terfenadine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Piroxicam		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Voglibose		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Warfarin sodium		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Pramipexole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Terbinafine hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Triamterene		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Trilostane		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Timolol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Valacyclovir hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Sulfamethoxazole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Etidronate disodium		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Flutiaddinfoone propionate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Quetiapine hemifumarate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Fenoldopam mesylate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Fleroxacin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Atenolol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Benznidazole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Bivalirudin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Caffeine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Carvedilol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Enalaprilat		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Eszopiclone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Epirubicin hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Eptifibatide acetate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Imiquimod		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Etretinate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Iohexol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Iproniazid		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Lacosamide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Lansoprazole		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Lenalidomide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ipratropium bromide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Formoterol fumarate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Gatifloxacin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Plerixafor		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Stavudine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Flupirtine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ciprofloxacin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Desipramine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Doripenem		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Eflornithine hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Oxybutynin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Primaquine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Dasatinib		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cisapride Monohydrate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Octreotide Acetate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Mifepristone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ritonavir		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Racecadotril		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cilostazol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Chlordiazepoxide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cefotaxime sodium		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Quinidine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Chloroquine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Aminoglutethimide		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Aprepitant		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cytarabine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Misoprostol		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Fluphenazine Hydrochloride		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Adefovir Dipivoxil		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Telithromycin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Saquinavir		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Nelfinavir		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Fusidic Acid		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Rosuvastatin calcium		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Cefazolin sodium		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Ofloxacin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Medroxyprogesterone Acetate		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Felodipine		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Simvastatin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Iloperidone		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
MRP2	Lovastatin		133	 [3H]-estradiol-17beta-D-glucuronide	MRP2-expressing sf9 vesicles	23956101
