Transporter	Substrate	Km	CellSystem	Reference
ABCB11	pravastatin	124	BSEP-expressing HEK293 vesicles	15901796
ABCB11	taurochenodeoxycholate	4.20	Sf9-BSEP	19520776
ABCB11	taurocholate	4.64	BSEP-expressing HEK293 vesicles	15901796
ABCB11	taurocholate	15.0	Sf9-BSEP	19520776
ABCB4	digoxin	ND	Nucleotide trapping assay with Sf9-MDR3 membranes	10918072
ABCB4	paclitaxel	ND	Nucleotide trapping assay with Sf9-MDR3 membranes	10918072
ABCB4	verapamil	ND	Nucleotide trapping assay with Sf9-MDR3 membranes	10918072
ABCB4	vinblastine	ND	Nucleotide trapping assay with Sf9-MDR3 membranes	10918072
ABCC1	4-hydroxynonenal-glutathione	1.6	MRP1-expressing High Five vesicles	10947971
ABCC1	aflatoxin-b1-glutathione	0.189	MRP1-expressing HeLa vesicles	9187270
ABCC1	citalopram	1.99	MRP1-expressing HEK293 vesicles	20520284
ABCC1	estradiol-17beta-glucuronide	1.5	MRP1-expressing HEK293 vesicles	10220572
ABCC1	estradiol-17beta-glucuronide	1.5	MRP1-expressing HeLa vesicles	8640791
ABCC1	estradiol-17beta-glucuronide	2.5	MRP1-expressing HeLa vesicles	8621644
ABCC1	estrone-3-sulfate	0.73	MRP1-expressing HeLa vesicles	11102445
ABCC1	estrone-3-sulfate	2.1	MRP1-expressing HeLa vesicles	11102445
ABCC1	estrone-3-sulfate	4.2	MRP1-expressing HEK vesicles	12867490
ABCC1	leukotriene-c4	0.097	MRP1-expressing HeLa vesicles	7961706
ABCC1	leukotriene-c4	0.167	MRP1-expressing HeLa vesicles	11102445
ABCC1	methotrexate	930	MRP1-expressing MCF7 vesicles	12731885
ABCC1	methotrexate	2150	MRP1-expressing HEK293 vesicles	11585759
ABCC1	para-aminohippurate	372	MRP1-expressing HeLa vesicles	10760098
ABCC1	s-(2_4-dinitrophenyl)-glutathione	3.6	MRP1-expressing HeLa vesicles	8640791
ABCC2	dehydroepiandrosterone-sulfate	14.9	MRP2-expressing LLC-PK1 vesicles	17823233
ABCC2	estradiol-17beta-glucuronide	7.2	MRP2-expressing HEK293 vesicles	10220572
ABCC2	etoposide	617	MDCK II-MRP2	11901101
ABCC2	irinotecan	48.9	bile canalicular membrane vesicles	9823324
ABCC2	irinotecan	90.8	MDCK II-MRP2	12065434
ABCC2	methotrexate	480	MRP2-expressing HEK293 vesicles	17005917
ABCC2	olmesartan	14.9	MRP2-expressing LLC-PK1 vesicles	17823233
ABCC2	para-aminohippurate	880	MRP2-expressing HEK293 vesicles	10760098
ABCC2	para-aminohippurate	2100	MRP2-expressing MDCK II vesicles	15504935
ABCC2	para-aminohippurate	5000	MRP2-expressing Sf9 vesicles	15504935
ABCC2	sn-38	180	bile canalicular membrane vesicles	9823324
ABCC2	sn-38-glucuronide	5.7	bile canalicular membrane vesicles	9823324
ABCC2	valsartan	30.4	MRP2-expressing LLC-PK1 vesicles	16624871
ABCC2	vinblastine	137.3	MDCK II-MRP2	12134946
ABCC3	estradiol-17beta-glucuronide	17.7	MRP3-expressing Sf9 vesicles	11581266
ABCC3	estradiol-17beta-glucuronide	25.6	MRP3-expressing HEK293 vesicles	10987286
ABCC3	estradiol-17beta-glucuronide	29	MRP3-expressing HEK293 vesicles	12924948
ABCC3	ethinylestradiol-glucuronide	9.2	MRP3-expressing Sf9 vesicles	14722317
ABCC3	etoposide-glucuronide	11.4	MRP3-expressing Sf9 vesicles	11581266
ABCC3	fexofenadine	ND	MRP3-expressing HEK293 vesicles	18245269
ABCC3	folic-acid	1960	MRP3-expressing HEK293 vesicles	11585759
ABCC3	glycocholate	248	MRP3-expressing HEK293 vesicles	10987286
ABCC3	hyocholate-glucuronide	0.2	MRP3-expressing Sf9 vesicles	16225954
ABCC3	hyodeoxycholate-glucuronide	0.7	MRP3-expressing Sf9 vesicles	16225954
ABCC3	leucovorin	1740	MRP3-expressing HEK293 vesicles	11585759
ABCC3	leukotriene-c4	5.3	MRP3-expressing HEK293 vesicles	10987286
ABCC3	methotrexate	620	MRP3-expressing HEK293 vesicles	11585759
ABCC3	methotrexate	776	MRP3-expressing HEK293 vesicles	10987286
ABCC3	methotrexate	910	MRP1-expressing MCF7 vesicles	12731885
ABCC3	s-(2_4-dinitrophenyl)-glutathione	5.7	MRP3-expressing HEK293 vesicles	10987286
ABCC3	taurocholate	30	MRP3-expressing HEK293 vesicles	12924948
ABCC4	adefovir	>1000	MRP4-expressing HEK293 vesicles	17110501
ABCC4	chenodeoxycholylglycine	5.9	MRP4-expressing V79 vesicles	16282361
ABCC4	chenodeoxycholyltaurine	3.6	MRP4-expressing V79 vesicles	16282361
ABCC4	cholate	14.8	MRP4-expressing V79 vesicles	16282361
ABCC4	cholyltaurine	7.7	MRP4-expressing V79 vesicles	16282361
ABCC4	cyclic-amp	44.5	MRP4-expressing Sf9 vesicles	11447229
ABCC4	cyclic-gmp	9.69	MRP4-expressing Sf9 vesicles	11447229
ABCC4	dehydroepiandrosterone-sulfate	1.9	MRP4-expressing Sf9 vesicles	12523936
ABCC4	dehydroepiandrosterone-sulfate	26.2	MRP4-expressing LLC-PK1 vesicles	17823233
ABCC4	deoxycholylglycine	6.7	MRP4-expressing V79 vesicles	16282361
ABCC4	estradiol-17beta-glucuronide	30.3	MRP4-expressing Sf9 vesicles	11447229
ABCC4	folic-acid	170	MRP4-expressing Sf9 vesicles	12036927
ABCC4	methotrexate	220	MRP4-expressing HEK293 vesicles	17005917
ABCC4	methotrexate	220	MRP4-expressing Sf9 vesicles	12036927
ABCC4	methotrexate	1300	MRP4-expressing Sf9 vesicles	11856762
ABCC4	olmesartan	26.2	MRP4-expressing LLC-PK1 vesicles	17823233
ABCC4	para-aminohippurate	160	MRP4-expressing Sf9 vesicles	15504935
ABCC4	prostaglandin-e1	2.1	MRP4-expressing Sf9 vesicles	12835412
ABCC4	prostaglandin-e2	3.4	MRP4-expressing Sf9 vesicles	12835412
ABCC4	tenofovir	>1000	MRP4-expressing HEK293 vesicles	17110501
ABCC4	topotecan	1.66	HepG2-MRP4	16454695
ABCC5	5-fluorodeoxyuridine-monophosphate	1100	MRP5-expressing HEK293 vesicles	15897250
ABCC5	5-fluorodeoxyuridine-monophosphate	1100	MRP5-expressing HEK293 vesicles	16337112
ABCC5	carboxydichlorofluorescein	11.6	MRP5-expressing HEK293 vesicles	16337112
ABCC5	cyclic-amp	379	MRP5-expressing V79 vesicles	10893247
ABCC5	cyclic-gmp	2.1	MRP5-expressing V79 vesicles	10893247
ABCC5	folic-acid	1000	MRP5-expressing HEK293 vesicles	15899835
ABCC5	methotrexate	1174	MRP5-expressing HEK293 vesicles	16337112
ABCC5	methotrexate	1200	MRP5-expressing HEK293 vesicles	15899835
ABCC5	methotrexate-glucuronide	700	MRP5-expressing HEK293 vesicles	15899835
ABCC5	pemetrexed	281	MRP5-expressing HEK293 vesicles	16337112
ABCC6	cisplatin	ND	MRP6-expressing CHO vesicles	12414644
ABCC6	daunorubicin	ND	MRP6-expressing CHO vesicles	12414644
ABCC6	leukotriene-c4	0.6	MRP6-expressing Sf9 vesicles	11880368
ABCC6	n-ethylmaleimide-s-glutathione	282	MRP6-expressing Sf9 vesicles	11880368
ABCG2	4-methylumbelliferone-sulfate	12.9	BCRP-expressing vesicles from mouse lymphoma (P388) cells	12682043
ABCG2	daunorubicin	2.5	ATP hydrolysis assay of BCRP-expressing Sf9 vesicles	11437380
ABCG2	doxorubicin	5	ATP hydrolysis assay of BCRP-expressing Sf9 vesicles	11437380
ABCG2	estradiol-17beta-glucuronide	44.2	BCRP-expressing HEK293 vesicles	12874005
ABCG2	estrone-3-sulfate	6.8	BCRP-expressing K562 vesicles	12920197
ABCG2	estrone-3-sulfate	16.6	BCRP-expressing vesicles from mouse lymphoma (P388) cells	12682043
ABCG2	hematoporphyrin	17.8	BCRP-expressing Sf9 vesicles	16608919
ABCG2	imatinib	ND	Intracellular accumulation in BCRP-expressing HEK293 cells inhbited with Ko-143	15251980
ABCG2	methotrexate	681	BCRP-expressing MCF7/MX vesicles	14500392
ABCG2	methotrexate	1340	BCRP-expressing HEK293 vesicles	12874005
ABCG2	methotrexate	1410	BCRP-expressing HEK293 vesicles	19427995
ABCG2	mitoxantrone	7	ATP hydrolysis assay of BCRP-expressing Sf9 vesicles	11437380
ABCG2	pitavastatin	5.73	BCRP-expressing HEK293 vesicles	15955871
ABCG2	rosuvastatin	2.02	BCRP-expressing HEK293 vesicles	18617601
ABCG2	rosuvastatin	10.1	MDCK II-BCRP	18236139
ABCG2	sn-38	4.0	BCRP-expressing PC-6/SN2-5H vesicles	11688982
ABCG2	sn-38-glucuronide	26	BCRP-expressing PC-6/SN2-5H vesicles	11688982
ABCG2	sulfasalazine	0.7	BCRP-expressing Sf9 vesicles	19252303
ABCG2	topotecan	213	MDCK II-BCRP	18654741
OSTalpha	dehydroepiandrosterone-sulfate	ND	OSTalpha-OSTbeta expressing oocytes	16317684
OSTbeta	dehydroepiandrosterone-sulfate	ND	OSTalpha-OSTbeta expressing oocytes	16317684
OSTalpha	digoxin	ND	OSTalpha-OSTbeta expressing oocytes	12719432
OSTbeta	digoxin	ND	OSTalpha-OSTbeta expressing oocytes	12719432
OSTalpha	estrone-3-sulfate	320	OSTalpha-OSTbeta expressing oocytes	12719432
OSTbeta	estrone-3-sulfate	320	OSTalpha-OSTbeta expressing oocytes	12719432
OSTalpha	prostaglandin-e2	ND	OSTalpha-OSTbeta expressing oocytes	12719432
OSTbeta	prostaglandin-e2	ND	OSTalpha-OSTbeta expressing oocytes	12719432
OSTalpha	taurocholate	ND	OSTalpha-OSTbeta expressing oocytes	16317684
OSTbeta	taurocholate	ND	OSTalpha-OSTbeta expressing oocytes	16317684
SLC10A1	cholate	12	HeLa-NTCP	14660639
SLC10A1	estrone-3-sulfate	27	HeLa-NTCP	14660639
SLC10A1	glycoursodeoxycholate	0.376	HEK-NTCP	16686371
SLC10A1	pitavastatin	15.1	NTCP-expressing oocytes	16259759
SLC10A1	rosuvastatin	65	HeLa-NTCP	16697742
SLC10A1	taurocholate	2.1	HEK-NTCP	17374746
SLC10A1	taurocholate	7.5	HeLa-NTCP	14660639
SLC10A1	taurocholate	7.9	HeLa-NTCP	10565843
SLC10A1	tauroursodeoxycholate	3.49	HEK-NTCP	16686371
SLC10A2	cholate	33.3	COS1-ASBT	9458785
SLC10A2	glycochenodeoxycholate	5.7	COS1-ASBT	9458785
SLC10A2	glycodeoxycholate	2	COS1-ASBT	9458785
SLC10A2	glycoursodeoxycholate	4.1	COS1-ASBT	9458785
SLC10A2	taurocholate	9.4	HEK-ASBT	12475240
SLC10A2	taurocholate	13.3	COS1-ASBT	9458785
SLC10A2	taurocholate	16	COS-ASBT	11742882
SLC15A1	5-aminolevulinic-acid	1600	PEPT1-expressing oocytes	19789362
SLC15A1	amoxicillin	ND	MDCK-PEPT1	16434549
SLC15A1	enalapril	262	MDCK II-PEPT1	16627748
SLC15A1	glycylsarcosine	310	Caco-2	11714740
SLC15A1	glycylsarcosine	500	CHO-PEPT1	10052994
SLC15A1	glycylsarcosine	1100	Caco-2	18824524
SLC15A1	valacyclovir	1640	CHO-PEPT1	10087037
SLC15A1	valacyclovir	5940	PEPT1-expressing oocytes	9753615
SLC15A2	amoxicillin	1040	MDCK-PEPT2	16434549
SLC15A2	cefaclor	72	MDCK-PEPT2	16434549
SLC15A2	glycylsarcosine	74	HeLa-PEPT2	7495840
SLC15A2	glycylsarcosine	140	SKPT cells	18824524
SLC15A2	glycylsarcosine	170	HEK293-PEPT2	15020234
SLC22A1	4-(4-dimethylamino)styryl-n-methylpyridinium-(asp+)	9.21	HEK293-OCT1	20567254
SLC22A1	furamidine	6.1	CHO-OCT1	18971316
SLC22A1	metformin	1060	HEK293-OCT1	17876861
SLC22A1	metformin	1470	HEK293-OCT1	16272756
SLC22A1	metformin	2160	CHO-OCT1	19591196
SLC22A1	metformin	5450	HEK293-OCT1	20567254
SLC22A1	1-methyl-4-phenylpyridinium-(mpp+)	14.6	OCT1-expressing oocytes	9187257
SLC22A1	n-methylpyridinium	21	MDCK II-OCT1	18314419
SLC22A1	pentamidine	36.4	CHO-OCT1	18971316
SLC22A1	prostaglandin-e2	0.657	S2-OCT1	11907186
SLC22A1	prostaglandin-f2alpha	0.477	S2-OCT1	11907186
SLC22A1	ranitidine	70	OCT1-expressing oocytes	16141367
SLC22A1	tetraethylammonium	229	HeLa-OCT1	9655880
SLC22A1	tetraethylammonium	566	S2-OCT1	19520775
SLC22A1	ym155	22.1	HEK293-OCT1	19833842
SLC22A11	bumetanide	306	S2-OAT4	14610216
SLC22A11	dehydroepiandrosterone-sulfate	0.63	OAT4-expressing oocytes	10660625
SLC22A11	estrone-3-sulfate	1.01	OAT4-expressing oocytes	10660625
SLC22A11	estrone-3-sulfate	9.9	S2-OAT4	12130730
SLC22A11	methotrexate	17.8	S2-OAT4	12130730
SLC22A11	ochratoxin-a	22.9	S2-OAT4	12063169
SLC22A11	pravastatin	257	S2-OAT4	17455113
SLC22A11	prostaglandin-e2	0.154	S2-OAT4	11907186
SLC22A11	prostaglandin-f2alpha	0.692	S2-OAT4	11907186
SLC22A11	tetracycline	122.7	S2-OAT4	11855680
SLC22A11	uric-acid	106	HEK293-OAT4	17674156
SLC22A11	zidovudine	152	S2-OAT4	11861798
SLC22A12	oxypurinol	794	URAT1-expressing oocytes	16135657
SLC22A12	uric-acid	357.6	URAT1-expressing oocytes	17043154
SLC22A2	4-(4-dimethylamino)styryl-n-methylpyridinium-(asp+)	24	HEK293-OCT2	16394027
SLC22A2	amantadine	27	HEK293-OCT2	9687576
SLC22A2	amiloride	95	HEK293-OCT2	16394027
SLC22A2	cimetidine	72.6	HEK293-OCT2	16006492
SLC22A2	dopamine	1400	HEK293-OCT2	16581093
SLC22A2	epinephrine	420	HEK293-OCT2	16581093
SLC22A2	famotidine	56.1	HEK293-OCT2	16006492
SLC22A2	histamine	940	HEK293-OCT2	16581093
SLC22A2	metformin	680	HeLa-OCT2	20053795
SLC22A2	metformin	990	HEK293-OCT2	16272756
SLC22A2	metformin	1072	HEK293-OCT2	17876861
SLC22A2	metformin	3171	HEK293-OCT2	19251820
SLC22A2	metformin	3356	HEK293-OCT2	19002438
SLC22A2	n-methylpyridinium	16	HEK293-OCT2	9687576
SLC22A2	n-methylpyridinium	19	OCT2-expressing oocytes	9260930
SLC22A2	n-methylpyridinium	19.5	HEK293-OCT2	19002438
SLC22A2	n-methylpyridinium	19.5	HEK293-OCT2	19251820
SLC22A2	norepinephrine	1500	HEK293-OCT2	16581093
SLC22A2	prostaglandin-e2	0.0289	S2-OCT2	11907186
SLC22A2	prostaglandin-f2alpha	0.344	S2-OCT2	11907186
SLC22A2	ranitidine	65.2	HEK293-OCT2	16006492
SLC22A2	serotonin	290	HEK293-OCT2	16581093
SLC22A2	tetraethylammonium	33.8	OCT2-expressing oocytes	10082798
SLC22A2	tetraethylammonium	76	OCT2-expressing oocytes	9260930
SLC22A2	varenicline	370	HEK293-OCT2	17971819
SLC22A2	ym155	2.67	HEK293-OCT2	19833842
SLC22A3	epinephrine	240	HEK293-OCT3	16581093
SLC22A3	etilefrine	2800	CHO-OCT3	16263091
SLC22A3	histamine	180	HEK293-OCT3	10385678
SLC22A3	histamine	220	HEK293-OCT3	16581093
SLC22A3	metformin	2260	CHO-OCT3	19591196
SLC22A3	n-methylpyridinium	47	HRPE-OCT3	10966924
SLC22A3	norepinephrine	2630	HEK293-OCT3	16581093
SLC22A4	ergothioneine	21	HEK-OCTN1	15795384
SLC22A4	tetraethylammonium	195	OCTN1-expressing oocytes	10215651
SLC22A4	tetraethylammonium	1800	HEK293-OCTN1	17700366
SLC22A5	acetyl-l-carnitine	8.5	HEK293-OCTN2	10525100
SLC22A5	d-carnitine	10.9	HEK293-OCTN2	10525100
SLC22A5	d-carnitine	98.3	OCTN2-expressing oocytes	10966938
SLC22A5	l-carnitine	3.5	HeLa-OCTN2	10636865
SLC22A5	l-carnitine	4.3	HEK293-OCTN2	10525100
SLC22A5	l-carnitine	4.8	OCTN2-expressing oocytes	10966938
SLC22A6	acyclovir	342	S2-OAT1	11861798
SLC22A6	adefovir	23.8	CHO-OAT1	10703662
SLC22A6	cidofovir	30	CHO-OAT1	17314201
SLC22A6	cidofovir	58	CHO-OAT1	10703662
SLC22A6	edaravone-sulfate	10.8	HEK293-OAT1	17502342
SLC22A6	ganciclovir	896	S2-OAT1	11861798
SLC22A6	methotrexate	554	S2-OAT1	12130730
SLC22A6	methotrexate	724	OAT1-expressing oocytes	15548848
SLC22A6	ochratoxin-a	0.42	S2-OAT1	11669456
SLC22A6	olmesartan	0.0683	HEK293-OAT1	17823233
SLC22A6	para-aminohippurate	15.4	CHO-OAT1	10703662
SLC22A6	para-aminohippurate	20.1	S2-OAT1	11426832
SLC22A6	para-aminohippurate	28	HEK293-OAT1	16098483
SLC22A6	prostaglandin-e2	0.97	S2-OAT1	11907186
SLC22A6	prostaglandin-f2alpha	0.575	S2-OAT1	11907186
SLC22A6	tenofovir	33.8	CHO-OAT1	11563082
SLC22A6	uric-acid	197.6	HEK293-OAT1	17674156
SLC22A6	zidovudine	45.9	S2-OAT1	11861798
SLC22A7	2_-deoxyguanosine	128	HEK-OAT2	18216183
SLC22A7	5-fluorouracil	0.0538	OAT2-expressing oocytes	15901346
SLC22A7	bumetanide	7.52	OAT2-expressing oocytes	15901346
SLC22A7	cyclic-gmp	88	HEK-OAT2	18216183
SLC22A7	erythromycin	18.5	OAT2-expressing oocytes	15708966
SLC22A7	paclitaxel	0.1428	OAT2-expressing oocytes	15901346
SLC22A7	prostaglandin-e2	0.713	S2-OAT2	11907186
SLC22A7	prostaglandin-f2alpha	0.425	S2-OAT2	12023506
SLC22A7	tetracycline	439.9	S2-OAT2	11855680
SLC22A7	theophylline	12.6	OAT2-expressing oocytes	15708966
SLC22A7	zidovudine	26.8	S2-OAT2	11861798
SLC22A8	bumetanide	1586	S2-OAT3	14610216
SLC22A8	cimetidine	113	HEK293-OAT3	16455804
SLC22A8	cimetidine	174	CHO-OAT3	17314201
SLC22A8	cortisol	2.4	OAT3-expressing oocytes	15864504
SLC22A8	edaravone-sulfate	15.1	HEK293-OAT3	17502342
SLC22A8	estrone-3-sulfate	2.18	COS7-OAT3	19282394
SLC22A8	estrone-3-sulfate	2.21	S2-OAT3	11426832
SLC22A8	estrone-3-sulfate	3.1	OAT3-expressing oocytes	11306713
SLC22A8	estrone-3-sulfate	6.3	HEK293-OAT3	16098483
SLC22A8	fexofenadine	70.2	HEK293-OAT3	16455804
SLC22A8	methotrexate	10.9	OAT3-expressing oocytes	11306713
SLC22A8	methotrexate	17.2	OAT3-expressing oocytes	15548848
SLC22A8	methotrexate	21.1	S2-OAT3	12130730
SLC22A8	ochratoxin-a	0.75	S2-OAT3	11669456
SLC22A8	olmesartan	0.12	HEK293-OAT3	17823233
SLC22A8	para-aminohippurate	87.2	OAT3-expressing oocytes	11306713
SLC22A8	pitavastatin	3.3	OAT3-expressing oocytes	16259759
SLC22A8	pravastatin	27.2	S2-OAT3	17455113
SLC22A8	prostaglandin-e2	0.345	S2-OAT3	11907186
SLC22A8	prostaglandin-f2alpha	1.092	S2-OAT3	11907186
SLC22A8	rosuvastatin	7.4	OAT3-expressing oocytes	17585018
SLC22A8	sitagliptin	162	CHO-OAT3	17314201
SLC22A8	tetracycline	566.2	S2-OAT3	11855680
SLC22A8	uric-acid	380.3	HEK293-OAT3	17674156
SLC22A8	zidovudine	145	S2-OAT3	11861798
SLC47A1	acyclovir	2640	HEK293-MATE1	17509534
SLC47A1	cimetidine	170	HEK293-MATE1	17509534
SLC47A1	estrone-3-sulfate	470	HEK293-MATE1	17509534
SLC47A1	ganciclovir	5120	HEK293-MATE1	17509534
SLC47A1	guanidine	2100	HEK293-MATE1	17509534
SLC47A1	metformin	202	HeLa-MATE1	20053795
SLC47A1	metformin	227	HEK293-MATE1	19172157
SLC47A1	metformin	780	HEK293-MATE1	17509534
SLC47A1	n-methylpyridinium	16	HEK293-MATE1	16330770
SLC47A1	n-methylpyridinium	100	HEK293-MATE1	17509534
SLC47A1	paraquat	169	HEK293-MATE1	19172157
SLC47A1	procainamide	1230	HEK293-MATE1	17509534
SLC47A1	tetraethylammonium	220	HEK293-MATE1	16330770
SLC47A1	tetraethylammonium	380	HEK293-MATE1	17509530
SLC47A1	topotecan	70	HEK293-MATE1	17509534
SLC47A2	acyclovir	4320	HEK293-MATE2K	17509534
SLC47A2	cimetidine	120	HEK293-MATE2K	17509534
SLC47A2	cimetidine	370	HEK293-MATE2K	16807400
SLC47A2	estrone-3-sulfate	850	HEK293-MATE2K	17509534
SLC47A2	ganciclovir	4280	HEK293-MATE2K	17509534
SLC47A2	guanidine	4200	HEK293-MATE2K	17509534
SLC47A2	metformin	1050	HEK293-MATE2K	16807400
SLC47A2	metformin	1980	HEK293-MATE2K	17509534
SLC47A2	n-methylpyridinium	93.5	HEK293-MATE2K	16807400
SLC47A2	n-methylpyridinium	110	HEK293-MATE2K	17509534
SLC47A2	procainamide	1580	HEK293-MATE2K	17509534
SLC47A2	procainamide	4100	HEK293-MATE2K	16807400
SLC47A2	tetraethylammonium	760	HEK293-MATE2K	17509534
SLC47A2	tetraethylammonium	830	HEK293-MATE2K	16807400
SLC47A2	topotecan	60	HEK293-MATE2K	17509534
SLCO1A2	estrone-3-sulfate	13.6	HEK293-OATP1A2	16702441
SLCO1A2	levofloxacin	136	OATP1A2-expressing oocytes	17274666
SLCO1A2	methotrexate	457	OATP1A2-expressing oocytes	16702441
SLCO1A2	pitavastatin	3.4	OATP1A2-expressing oocytes	16259759
SLCO1A2	rosuvastatin	2.6	HeLa-OATP1A2	16697742
SLCO1A2	saquinavir	36.4	OATP1A2-expressing oocytes	15832500
SLCO1B1	atorvastatin	12.4	HEK293-OATP1B1	15970799
SLCO1B1	atorvastatin	18.9	HEK293-OATP1B1	17192770
SLCO1B1	bosentan	44	CHO-OATP1B1	17496208
SLCO1B1	bromsulphthalein-(bsp)	0.3	OATP1B1-expressing oocytes	11159893
SLCO1B1	cholyl-glycylamido-fluorescein-(cgamf)	7.9	CHO-OATP1B1	20102298
SLCO1B1	estradiol-17beta-glucuronide	2.5	HEK293-OATP1B1	16316932
SLCO1B1	estradiol-17beta-glucuronide	5.4	CHO-OATP1B1	18321482
SLCO1B1	estradiol-17beta-glucuronide	5.9	CHO-OATP1B1	19427586
SLCO1B1	estradiol-17beta-glucuronide	8.29	HEK293-OATP1B1	15159445
SLCO1B1	estrone-3-sulfate	0.23	CHO-OATP1B1	17470528
SLCO1B1	estrone-3-sulfate	0.46	HEK293-OATP1B1	15159445
SLCO1B1	estrone-3-sulfate	2.4	CHO-OATP1B1	18321482
SLCO1B1	fluo-3	2.3	CHO-OATP1B1	18321482
SLCO1B1	fluvastatin	1.4	CHO-OATP1B1	17470528
SLCO1B1	fluvastatin	3.5	CHO-OATP1B1	17470528
SLCO1B1	fluvastatin	31.1	OATP1B1-expressing oocytes	18408565
SLCO1B1	glycoursodeoxycholate	5.17	HEK293-OATP1B1	16686371
SLCO1B1	olmesartan	12.8	HEK293-OATP1B1	17823233
SLCO1B1	olmesartan	42.6	OATP1B1-expressing oocytes	16501004
SLCO1B1	pitavastatin	3	HEK293-OATP1B1	15159445
SLCO1B1	pitavastatin	3.6	OATP1B1-expressing oocytes	16259759
SLCO1B1	pitavastatin	6.7	OATP1B1-expressing oocytes	18408565
SLCO1B1	pravastatin	57.5	OATP1B1-expressing oocytes	18408565
SLCO1B1	pravastatin	85.7	HEK293-OATP1B1	15970799
SLCO1B1	rifampicin	1.5	HeLa-OATP1B1	12490595
SLCO1B1	rifampicin	13	OATP1B1-expressing oocytes	12085361
SLCO1B1	rosuvastatin	0.8	HEK293-OATP1B1	18617601
SLCO1B1	rosuvastatin	4	HeLa-OATP1B1	16697742
SLCO1B1	rosuvastatin	7.3	HeLa-OATP1B1	16697742
SLCO1B1	rosuvastatin	8.5	OATP1B1-expressing oocytes	15289793
SLCO1B1	tauroursodeoxycholate	7.47	HEK293-OATP1B1	16686371
SLCO1B1	valsartan	1.39	HEK293-OATP1B1	16624871
SLCO1B1	valsartan	17.8	CHO-OATP1B1	19936896
SLCO1B3	amantinin	3.7	MDCK II-OATP1B3	16495352
SLCO1B3	bosentan	141	CHO-OATP1B3	17496208
SLCO1B3	bromsulphthalein-(bsp)	0.4	OATP1B3-expressing oocytes	11159893
SLCO1B3	cholecystokinin-8	3.82	HEK293-OATP1B3	15159445
SLCO1B3	cholecystokinin-8	16.5	CHO-OATP1B3	19936896
SLCO1B3	cholyl-glycylamido-fluorescein-(cgamf)	2.2	CHO-OATP1B3	20102298
SLCO1B3	estradiol-17beta-glucuronide	15.8	CHO-OATP1B3	18321482
SLCO1B3	estradiol-17beta-glucuronide	24.6	HEK293-OATP1B1	15159445
SLCO1B3	estrone-3-sulfate	58	CHO-OATP1B3	18321482
SLCO1B3	fexofenadine	108	HEK293-OATP1B3	16014768
SLCO1B3	fluo-3	3.1	CHO-OATP1B3	18321482
SLCO1B3	glycoursodeoxycholate	24.7	HEK293-OATP1B3	16686371
SLCO1B3	methotrexate	24.7	OATP1B3-expressing oocytes	11375950
SLCO1B3	methotrexate	39.4	MDCK-OATP1B3	11375950
SLCO1B3	olmesartan	44.2	HEK293-OATP1B3	17823233
SLCO1B3	olmesartan	71.8	OATP1B3-expressing oocytes	16501004
SLCO1B3	paclitaxel	6.79	OATP1B3-expressing oocytes	16210916
