Transporter	Inhibitor	IC50 (_M)	Ki (_M)	Substrate used	Cell System	Reference	
OCT1	Clemastine	4.9		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Clomipramine	5		Morphine	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23835420?dopt=Abstract	
OCT1	Clomipramine	19.3		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Clonidine	18.98		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Clonidine	6.5		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/16263091?dopt=Abstract	
OCT1	Clonidine	0.71		Tetraethylammonium	HeLa-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/12606755	
OCT1	Clonidine	22.6		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Cloperastine	14.89		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Closantel	3		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Clotrimazole	11.97		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Codeine	11		Morphine	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23835420?dopt=Abstract	
OCT1	Corticosterone	21.7		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/12110607?dopt=Abstract	
OCT1	d-Tetrahydropalmatine	13.9		Monocrotaline	MDCK-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23831208?dopt=Abstract	
OCT1	Darunavir	16		Tetraethylammonium	KCL22-OCT1	https://www.frontiersin.org/articles/10.3389/fphar.2015.00078/full	
OCT1	Dasatinib	1.07		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21252289?dopt=Abstract	
OCT1	Decynium-22	0.98		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/12110607?dopt=Abstract	
OCT1	Desipramine	9.18		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Desipramine	56.8		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Desipramine	43.9		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/20567254?dopt=Abstract	
OCT1	Dextromethorphan	10.45		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Dichlorophene	8.41		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Diltiazem	12.4		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Diltiazem	15.8		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18686197?dopt=Abstract	
OCT1	Diltiazem	1.7		MPP+	MDCK-OCT1	https://ajp.amjpathol.org/article/S0002-9440(11)00227-6/pdf	
OCT1	Diphenhydramine	3.4		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/16263091?dopt=Abstract	
OCT1	Diphenhydramine	4.1		Serotonin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4014663/	
OCT1	Dipyridamole	81		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21599003?dopt=Abstract	
OCT1	Disopyramide	81.7		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Disopyramide	>100		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21599003?dopt=Abstract	
OCT1	Dobutamine	4.17		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Domperidone	32.8		Sumatriptan	HEK293-OCT1	https://ascpt.onlinelibrary.wiley.com/doi/full/10.1002/cpt.317	
OCT1	Doxazosin	14.8		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/20567254?dopt=Abstract	
OCT1	Doxepin	11.19		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Efavirenz	7.4		Tetraethylammonium	KCL22-OCT1	https://www.frontiersin.org/articles/10.3389/fphar.2015.00078/full	
OCT1	Eletriptan	6.8		MPP+	HEK293-OCT1	https://ascpt.onlinelibrary.wiley.com/doi/full/10.1002/cpt.317	
OCT1	Emtricitabine	0.00002		MPP+	CHO-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/19141712	
OCT1	Erlotinib	16.24		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Erlotinib	0.356		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21252289?dopt=Abstract	
OCT1	Erlotinib	86		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/42/11/1851?ijkey=bc919eedbb7d1499cd535bd2307d48679b31a3f3&keytype2=tf_ipsecsha	
OCT1	Ethambutol	>100		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5075059/	
OCT1	Ethopropazine	20.46		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Etilefrine	447		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/16263091?dopt=Abstract	
OCT1	Famotidine	>300		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23241029?dopt=Abstract	
OCT1	Flecainide	41.5		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18686197?dopt=Abstract	
OCT1	Flecainide	2.5		MPP+	MDCK-OCT1	https://ajp.amjpathol.org/article/S0002-9440(11)00227-6/pdf	
OCT1	Fluoxetine	6.2		Serotonin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4014663/	
OCT1	Fluoxetine	9.1		Morphine	HEK293-OCT1	https://link.springer.com/article/10.1007/s11095-018-2526-y	
OCT1	Fluoxetine	6		Morphine	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23835420?dopt=Abstract	
OCT1	Foretinib	74		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/42/11/1851?ijkey=bc919eedbb7d1499cd535bd2307d48679b31a3f3&keytype2=tf_ipsecsha	
OCT1	Gefitinib	1.07		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21252289?dopt=Abstract	
OCT1	Gefitinib	57		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/42/11/1851?ijkey=bc919eedbb7d1499cd535bd2307d48679b31a3f3&keytype2=tf_ipsecsha	
OCT1	Griseofulvin	7.3		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Guanabenz	4.85		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Homatropine	4		MPP+	HEK293-OCT1	https://www.degruyter.com/view/journals/bchm/398/2/article-p237.xml	
OCT1	Imatinib	1.47		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21252289?dopt=Abstract	
OCT1	Imatinib	10.2		Serotonin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4014663/	
OCT1	Imatinib	5		ASP+	HEK293-OCT1	https://journals.plos.org/plosone/article/file?type=printable&id=10.1371/journal.pone.0052247	
OCT1	Imatinib	107		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23241029?dopt=Abstract	
OCT1	Imipramine	7.95		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Imipramine	4.03		Morphine	HEK293-OCT1	https://link.springer.com/article/10.1007/s11095-018-2526-y	
OCT1	Imipramine	6.2		Morphine	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23835420?dopt=Abstract	
OCT1	Imipramine	17.1		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Indinavir	37		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/36/8/1616?ijkey=02efd0185bdf2fa1acfbe10024b9b11b287b090f&keytype2=tf_ipsecsha	
OCT1	Indinavir	208		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23241029?dopt=Abstract	
OCT1	Ipratropium	17		MPP+	HEK293-OCT1	https://www.degruyter.com/view/journals/bchm/398/2/article-p237.xml	
OCT1	Irinotecan	1.4		Morphine	HEK293-OCT1	https://link.springer.com/article/10.1007/s11095-018-2526-y	
OCT1	Irinotecan	1.5		Morphine	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23835420?dopt=Abstract	
OCT1	Irinotecan	20.8		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23241029?dopt=Abstract	
OCT1	Ketoconazole	2.6		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Ketoconazole	7.4		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/20567254?dopt=Abstract	
OCT1	Lamivudine	17		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/36/8/1616?ijkey=02efd0185bdf2fa1acfbe10024b9b11b287b090f&keytype2=tf_ipsecsha	
OCT1	Lansoprazole	35.8		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21779389?dopt=Abstract	
OCT1	Lapatinib	>30		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21252289?dopt=Abstract	
OCT1	Lapatinib	96		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/42/11/1851?ijkey=bc919eedbb7d1499cd535bd2307d48679b31a3f3&keytype2=tf_ipsecsha	
OCT1	Levofloxacin	30.3		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5075059/	
OCT1	Levofloxacin	22.6		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5075059/	
OCT1	Mefloquine	6.6		MPP+	MDCK-OCT1	http://dmd.aspetjournals.org/content/44/10/1562?ijkey=39928755d05a02a575ad05e7d6fe588e4698868a&keytype2=tf_ipsecsha	
OCT1	Memantine	27		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Metformin	3420		MPP+	CHO-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/19591196?dopt=Abstract	
OCT1	Methamphetamine	21.1		Metformin	HEK293-OCT1	http://dmd.aspetjournals.org/content/45/7/770?ijkey=834f69d4c3f65c792f27231aedc43a6b87d57189&keytype2=tf_ipsecsha#T1	
OCT1	Methoclopramide	95		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Metoclopramide	15.9		Sumatriptan	HEK293-OCT1	https://ascpt.onlinelibrary.wiley.com/doi/full/10.1002/cpt.317	
OCT1	Metoprolol	268		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18686197?dopt=Abstract	
OCT1	Metoprolol	52.6		MPP+	MDCK-OCT1	https://ajp.amjpathol.org/article/S0002-9440(11)00227-6/pdf	
OCT1	Mitoxantrone	43.9		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23241029?dopt=Abstract	
OCT1	Morphine	28		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Morphine	4.2		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23835420?dopt=Abstract	
OCT1	MPP+	390		Ethidium	CHO-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/19357179?dopt=Abstract	
OCT1	N-desmethyl imatinib 	1.76		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21252289?dopt=Abstract	
OCT1	Naratriptan	25		MPP+	HEK293-OCT1	https://ascpt.onlinelibrary.wiley.com/doi/full/10.1002/cpt.317	
OCT1	Nelfinavir	7		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/36/8/1616?ijkey=02efd0185bdf2fa1acfbe10024b9b11b287b090f&keytype2=tf_ipsecsha	
OCT1	Neratinib	77		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/42/11/1851?ijkey=bc919eedbb7d1499cd535bd2307d48679b31a3f3&keytype2=tf_ipsecsha	
OCT1	Nifedipine	31.1		MPP+	MDCK-OCT1	https://ajp.amjpathol.org/article/S0002-9440(11)00227-6/pdf	
OCT1	Nifekalant	>300		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23241029?dopt=Abstract	
OCT1	Nilotinib	2.92		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21252289?dopt=Abstract	
OCT1	Nilotinib	91		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/42/11/1851?ijkey=bc919eedbb7d1499cd535bd2307d48679b31a3f3&keytype2=tf_ipsecsha	
OCT1	Nitroprusside	43.84		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	O-desmethyl erlotinib 	3.62		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21252289?dopt=Abstract	
OCT1	O-desmethyl gefitinib 	2.19		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21252289?dopt=Abstract	
OCT1	O-methylisoprenaline	>100		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/12110607?dopt=Abstract	
OCT1	Omeprazole	15.7		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21779389?dopt=Abstract	
OCT1	Ondansetron	0.3		Morphine	HEK293-OCT1	https://link.springer.com/article/10.1007/s11095-018-2526-y	
OCT1	Ondansetron	1.2		Morphine	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23835420?dopt=Abstract	
OCT1	Ondansetron	63		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/20921968?dopt=Abstract	
OCT1	Ondansetron	>300		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23241029?dopt=Abstract	
OCT1	Orphenadrine	12.6		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Orphenadrine	>100		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21599003?dopt=Abstract	
OCT1	Oxibutynin	20		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21212936?dopt=Abstract	
OCT1	Oxprenolol	87.3		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18686197?dopt=Abstract	
OCT1	Pantoprazole	30.8		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21779389?dopt=Abstract	
OCT1	Pantoprazole	>500		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23241029?dopt=Abstract	
OCT1	Para-hydroxymethamphetamine	12		Metformin	HEK293-OCT1	http://dmd.aspetjournals.org/content/45/7/770?ijkey=834f69d4c3f65c792f27231aedc43a6b87d57189&keytype2=tf_ipsecsha#T1	
OCT1	Pelitinib	76		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/42/11/1851?ijkey=bc919eedbb7d1499cd535bd2307d48679b31a3f3&keytype2=tf_ipsecsha	
OCT1	Pentamidine	0.4		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/36/8/1616?ijkey=02efd0185bdf2fa1acfbe10024b9b11b287b090f&keytype2=tf_ipsecsha	
OCT1	Pentamidine	22.1		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23241029?dopt=Abstract	
OCT1	Phenoxybenzamine	15.1		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Phenoxybenzamine	2.72		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/12110607?dopt=Abstract	
OCT1	Pindolol	39.1		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18686197?dopt=Abstract	
OCT1	Pindolol	9.7		Tetraethylammonium	HeLa-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/12606755	
OCT1	Prazosin	9.9		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Prazosin	1.84		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/12110607?dopt=Abstract	
OCT1	Prazosin	50.9		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/20567254?dopt=Abstract	
OCT1	Prazosin	2.3		Tetraethylammonium	KCL22-OCT1	https://www.frontiersin.org/articles/10.3389/fphar.2015.00078/full	
OCT1	Procainamide	14.5		Tetraethylammonium	HeLa-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/12606755	
OCT1	Prochlorperazine	49.6		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Progesterone	3.05		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/12110607?dopt=Abstract	
OCT1	Promazine	17.2		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Propafenone	15.54		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Propafenone	1		MPP+	MDCK-OCT1	https://ajp.amjpathol.org/article/S0002-9440(11)00227-6/pdf	
OCT1	Propafenone	14.1		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/20567254?dopt=Abstract	
OCT1	Propranolol	113		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18686197?dopt=Abstract	
OCT1	Propranolol	1.3		MPP+	MDCK-OCT1	https://ajp.amjpathol.org/article/S0002-9440(11)00227-6/pdf	
OCT1	Propranolol	6.2		Sumatriptan	HEK293-OCT1	https://ascpt.onlinelibrary.wiley.com/doi/full/10.1002/cpt.317	
OCT1	Pyrazinamide	36.5		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5075059/	
OCT1	Pyrazinamide	25.8		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5075059/	
OCT1	Pyrimethamine	13.57		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/28230985	
OCT1	Pyrimethamine	4.46		Metformin	Caco-OCT1	https://bpspubs.onlinelibrary.wiley.com/doi/full/10.1002/prp2.357	
OCT1	Pyrimethamine	8.5		MPP+	MDCK-OCT1	http://dmd.aspetjournals.org/content/44/10/1562?ijkey=39928755d05a02a575ad05e7d6fe588e4698868a&keytype2=tf_ipsecsha	
OCT1	Quinidine	3.58		Monocrotaline	MDCK-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23831208?dopt=Abstract	
OCT1	Quinidine	16.8		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18686197?dopt=Abstract	
OCT1	Quinidine	5.4		Tetraethylammonium	HeLa-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/12606755	
OCT1	Quinidine	340		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/20567254?dopt=Abstract	
OCT1	Quinine	70		Ethidium	CHO-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/19357179?dopt=Abstract	
OCT1	Quinine	13		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/16263091?dopt=Abstract	
OCT1	Quinine	51.6		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Quinine	3.5		MPP+	MDCK-OCT1	http://dmd.aspetjournals.org/content/44/10/1562?ijkey=39928755d05a02a575ad05e7d6fe588e4698868a&keytype2=tf_ipsecsha	
OCT1	Rabeprazole	3		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/21779389?dopt=Abstract	
OCT1	Ranitidine	45.5		Morphine	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/29236753	
OCT1	Ranitidine	20.93		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/29236753	
OCT1	Ranitidine	336.59		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/29236753	
OCT1	Ranitidine	81.91		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/29236753	
OCT1	Ranitidine	28		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/16263091?dopt=Abstract	
OCT1	Ranitidine	21.7		Tetraethylammonium	HeLa-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/12606755	
OCT1	Repaglinide	9.2		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/18788725?dopt=Abstract	
OCT1	Rhodamine 123	0.37		Tetraethylammonium	HEK293-OCT1	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1472-8206.2012.01071.x	
OCT1	Rifabutin	42.7		MPP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5075059/	
OCT1	Rifabutin	38.7		Metformin	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5075059/	
OCT1	Ritonavir	14		MPP+	HEK293-OCT1	http://dmd.aspetjournals.org/content/36/8/1616?ijkey=02efd0185bdf2fa1acfbe10024b9b11b287b090f&keytype2=tf_ipsecsha	
OCT1	Ritonavir	33.9		ASP+	HEK293-OCT1	https://www.ncbi.nlm.nih.gov/pubmed/23241029?dopt=Abstract	
OCT1	Rizatriptan	41		MPP+	HEK293-OCT1	https://ascpt.onlinelibrary.wiley.com/doi/full/10.1002/cpt.317	
