Transporter Protein	Chemical	Organism (protein source)	IC50 (uM)	EC50 (uM)	Km (uM)	Ki (uM)	Inhibitor	Substrate	In vitro system	Reporter	Pubmed ID	Reference
ABCB1	(+)-emopamil	Homo Sapiens		2.4			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(+)-felodipine	Chlorocebus aethiops		19.6			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(+)-felodipine	Homo Sapiens		6.3			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(+)-isradipine	Chlorocebus aethiops		6.9			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(+)-isradipine	Homo Sapiens		9.2			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(+)-niguldipine	Chlorocebus aethiops		1.1			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(+)-niguldipine	Homo Sapiens		1.2			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(+)-nimodipine	Chlorocebus aethiops		5.2			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(+)-nimodipine	Homo Sapiens		12.6			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(+)-nitrendipine	Chlorocebus aethiops		5.7			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(+)-nitrendipine	Homo Sapiens		10.3			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(+)-verapamil	Chlorocebus aethiops		1.6			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	(+)-verapamil	Homo Sapiens		2.6			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	B869-60	Chlorocebus aethiops		67.8			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	B869-60	Homo Sapiens		58			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	B869-61	Chlorocebus aethiops		51.3			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	B869-61	Homo Sapiens		50			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	Bay K 8644	Chlorocebus aethiops		100			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	Bay K 8644	Homo Sapiens		79			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	Gallopamil	Chlorocebus aethiops		2.4			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	Gallopamil	Homo Sapiens		2.5			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	Nifedipine	Chlorocebus aethiops		74			Inhibitor		COS-7 cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	Nifedipine	Homo Sapiens		73			Inhibitor		F4-6P cells	[3H]vinblastine	1352973	"Hollt, 1992"
ABCB1	Amiodarone	Homo Sapiens		12.8			Inhibitor		CEM cells	Calcein-AM	8862725	"Tiberghien, 1996"
ABCB1	Cyclosporin A	Homo Sapiens		3.4			Inhibitor		CEM cells	Calcein-AM	8862725	"Tiberghien, 1996"
ABCB1	Quinacrine	Homo Sapiens		14.4			Inhibitor		CEM cells	Calcein-AM	8862725	"Tiberghien, 1996"
ABCB1	Quinidine	Homo Sapiens		30.5			Inhibitor		CEM cells	Calcein-AM	8862725	"Tiberghien, 1996"
ABCB1	SDZ 280-446	Homo Sapiens		0.22			Inhibitor		CEM cells	Calcein-AM	8862725	"Tiberghien, 1996"
ABCB1	Valspodar	Homo Sapiens		0.41			Inhibitor		CEM cells	Calcein-AM	8862725	"Tiberghien, 1996"
ABCB1	Verapamil	Homo Sapiens		22.5			Inhibitor		CEM cells	Calcein-AM	8862725	"Tiberghien, 1996"
ABCB1	Vinblastine	Homo Sapiens		34			Inhibitor		CEM cells	Calcein-AM	8862725	"Tiberghien, 1996"
ABCB1	Chlorpyrifos	Homo Sapiens		140.6			Inhibitor		B16/F10 cells	Doxorubicin	8917702	"Bain, 1996"
ABCB1	Clotrimazole	Homo Sapiens		16.6			Inhibitor		B16/F10 cells	Doxorubicin	8917702	"Bain, 1996"
ABCB1	Dicapthon	Homo Sapiens		191.7			Inhibitor		B16/F10 cells	Doxorubicin	8917702	"Bain, 1996"
ABCB1	Endosulfan	Homo Sapiens		34.1			Inhibitor		B16/F10 cells	Doxorubicin	8917702	"Bain, 1996"
ABCB1	Hydramethylnon	Homo Sapiens		7.3			Inhibitor		B16/F10 cells	Doxorubicin	8917702	"Bain, 1996"
ABCB1	Ivermectin	Homo Sapiens		10.9			Inhibitor		B16/F10 cells	Doxorubicin	8917702	"Bain, 1996"
ABCB1	Parathion	Homo Sapiens		229.8			Inhibitor		B16/F10 cells	Doxorubicin	8917702	"Bain, 1996"
ABCB1	Verapamil	Homo Sapiens		3.2			Inhibitor		B16/F10 cells	Doxorubicin	8917702	"Bain, 1996"
ABCB1	Azinphos-ethyl	Homo Sapiens		129			Inhibitor		B16/F10 cells	Doxorubicin	9347896	"Bain, 1997"
ABCB1	Coumaphos	Homo Sapiens		26.9			Inhibitor		B16/F10 cells	Doxorubicin	9347896	"Bain, 1997"
ABCB1	Phosalone	Homo Sapiens		96.4			Inhibitor		B16/F10 cells	Doxorubicin	9347896	"Bain, 1997"
ABCB1	Celiprolol	Homo Sapiens	730	-			Inhibitor		Caco-2 cells	[3H]verapamil	9688051	"Doppenshmitt, 1998"
ABCB1	Chloropromazine	Homo Sapiens	1.2	-			Inhibitor		Caco-2 cells	[3H]verapamil	9688051	"Doppenshmitt, 1998"
ABCB1	Cimetidine	Homo Sapiens	6500	-			Inhibitor		Caco-2 cells	[3H]verapamil	9688051	"Doppenshmitt, 1998"
ABCB1	Doxorubicin	Homo Sapiens	990	-			Inhibitor		Caco-2 cells	[3H]verapamil	9688051	"Doppenshmitt, 1998"
ABCB1	Haloperidol	Homo Sapiens	5.3	-			Inhibitor		Caco-2 cells	[3H]verapamil	9688051	"Doppenshmitt, 1998"
ABCB1	Ketoconazole	Homo Sapiens	13	-			Inhibitor		Caco-2 cells	[3H]verapamil	9688051	"Doppenshmitt, 1998"
ABCB1	Metoprolol	Homo Sapiens	1300	-			Inhibitor		Caco-2 cells	[3H]verapamil	9688051	"Doppenshmitt, 1998"
ABCB1	Pindolol	Homo Sapiens	1950	-			Inhibitor		Caco-2 cells	[3H]verapamil	9688051	"Doppenshmitt, 1998"
ABCB1	Propranolol	Homo Sapiens	350	-			Inhibitor		Caco-2 cells	[3H]verapamil	9688051	"Doppenshmitt, 1998"
ABCB1	Quinidine	Homo Sapiens	340	-			Inhibitor		Caco-2 cells	[3H]verapamil	9688051	"Doppenshmitt, 1998"
ABCB1	Quinine	Homo Sapiens	430	-			Inhibitor		Caco-2 cells	[3H]verapamil	9688051	"Doppenshmitt, 1998"
ABCB1	Rhodamine 123	Homo Sapiens	0.5	-			Inhibitor		Caco-2 cells	[3H]verapamil	9688051	"Doppenshmitt, 1998"
ABCB1	Talinolol	Homo Sapiens	830	-			Inhibitor		Caco-2 cells	[3H]verapamil	9688051	"Doppenshmitt, 1998"
ABCB1	Tranylcypromine	Homo Sapiens	14000	-			Inhibitor		Caco-2 cells	[3H]verapamil	9688051	"Doppenshmitt, 1998"
ABCB1	Verapamil	Homo Sapiens	1.5	-			Inhibitor		Caco-2 cells	[3H]verapamil	9688051	"Doppenshmitt, 1998"
ABCB1	Vinblastine	Homo Sapiens	34	-			Inhibitor		Caco-2 cells	[3H]verapamil	9688051	"Doppenshmitt, 1998"
ABCB1	Vincristine	Homo Sapiens	86	-			Inhibitor		Caco-2 cells	[3H]verapamil	9688051	"Doppenshmitt, 1998"
ABCB1	Ketoconazole	Homo Sapiens	1.4	-			Inhibitor		Caco-2 cells	[3H]digoxin	10901697	"Wandel, 2000"
ABCB1	Mibefradil	Homo Sapiens	1.6	-			Inhibitor		Caco-2 cells	[3H]digoxin	10901697	"Wandel, 2000"
ABCB1	Valspodar	Homo Sapiens	0.11	-			Inhibitor		Caco-2 cells	[3H]digoxin	10901697	"Wandel, 2000"
ABCB1	Chloropromazine	Homo Sapiens		196			Inhibitor		Caco-2 cells	Calcein-AM	11113639	"Eneroth, 2001"
ABCB1	Cyclosporin A	Homo Sapiens		7			Inhibitor		Caco-2 cells	Calcein-AM	11113639	"Eneroth, 2001"
ABCB1	Domperidone	Homo Sapiens		106			Inhibitor		Caco-2 cells	Calcein-AM	11113639	"Eneroth, 2001"
ABCB1	Ivermectin	Homo Sapiens		9			Inhibitor		Caco-2 cells	Calcein-AM	11113639	"Eneroth, 2001"
ABCB1	Ketoconazole	Homo Sapiens		36			Inhibitor		Caco-2 cells	Calcein-AM	11113639	"Eneroth, 2001"
ABCB1	Loperamide	Homo Sapiens		16			Inhibitor		Caco-2 cells	Calcein-AM	11113639	"Eneroth, 2001"
ABCB1	Metoprolol	Homo Sapiens		1440			Inhibitor		Caco-2 cells	Calcein-AM	11113639	"Eneroth, 2001"
ABCB1	Progesterone	Homo Sapiens		121			Inhibitor		Caco-2 cells	Calcein-AM	11113639	"Eneroth, 2001"
ABCB1	Propranolol	Homo Sapiens		429			Inhibitor		Caco-2 cells	Calcein-AM	11113639	"Eneroth, 2001"
ABCB1	Quinidine	Homo Sapiens		157			Inhibitor		Caco-2 cells	Calcein-AM	11113639	"Eneroth, 2001"
ABCB1	Quinine	Homo Sapiens		280			Inhibitor		Caco-2 cells	Calcein-AM	11113639	"Eneroth, 2001"
ABCB1	Verapamil	Homo Sapiens		70			Inhibitor		Caco-2 cells	Calcein-AM	11113639	"Eneroth, 2001"
ABCB1	Vincristine	Homo Sapiens		345			Inhibitor		Caco-2 cells	Calcein-AM	11113639	"Eneroth, 2001"
ABCB1	Ivermectin	Homo Sapiens	0.1	-			Inhibitor		Caco-2 cells	Rhodamine 123	15953199	"Griffin, 2005"
ABCB1	Moxidectin	Homo Sapiens	10	-			Inhibitor		Caco-2 cells	Rhodamine 123	15953199	"Griffin, 2005"
ABCB1	Selamectin	Homo Sapiens	0.12	-			Inhibitor		Caco-2 cells	Rhodamine 123	15953199	"Griffin, 2005"
ABCB1	Ivermectin	Homo Sapiens		-		0.06	Inhibitor		Sf9 cell membranes	Verapamil	16384552	"Lespine, 2006"
ABCB1	Erythromycin A	Homo Sapiens	119	-			Inhibitor		Caco-2 cells	[14C]ximelagatran	16455803	"Eriksson, 2006"
ABCB1	Quinidine	Homo Sapiens	1.8	-			Inhibitor		Caco-2 cells	[14C]ximelagatran	16455803	"Eriksson, 2006"
ABCB1	Verapamil	Homo Sapiens	1.7	-			Inhibitor		Caco-2 cells	[14C]ximelagatran	16455803	"Eriksson, 2006"
ABCB1	(-)-beta-pinene	Homo Sapiens	608	-			Inhibitor		LLC-PK1 cells	[3H]digoxin	16904803	"Yoshida, 2006"
ABCB1	(-)-citronellol	Homo Sapiens	504	-			Inhibitor		LLC-PK1 cells	[3H]digoxin	16904803	"Yoshida, 2006"
ABCB1	(+)-citronellal	Homo Sapiens	167	-			Inhibitor		LLC-PK1 cells	[3H]digoxin	16904803	"Yoshida, 2006"
ABCB1	Abietic acid	Homo Sapiens	172	-			Inhibitor		LLC-PK1 cells	[3H]digoxin	16904803	"Yoshida, 2006"
ABCB1	Alpha-terpinene	Homo Sapiens	414	-			Inhibitor		LLC-PK1 cells	[3H]digoxin	16904803	"Yoshida, 2006"
ABCB1	Cucurbitacin I	Homo Sapiens	181	-			Inhibitor		LLC-PK1 cells	[3H]digoxin	16904803	"Yoshida, 2006"
ABCB1	Glycyrrhetic acid	Homo Sapiens	80.8	-			Inhibitor		LLC-PK1 cells	[3H]digoxin	16904803	"Yoshida, 2006"
ABCB1	Ophiobolin A	Homo Sapiens	7.86	-			Inhibitor		LLC-PK1 cells	[3H]digoxin	16904803	"Yoshida, 2006"
ABCB1	Terpinolene	Homo Sapiens	481	-			Inhibitor		LLC-PK1 cells	[3H]digoxin	16904803	"Yoshida, 2006"
ABCB1	Verapamil	Homo Sapiens	237	-			Inhibitor		LLC-PK1 cells	[3H]digoxin	16904803	"Yoshida, 2006"
ABCB1	Acetochlor	Homo Sapiens		25				Substrate	Sf9 cell membranes	Basal activity	18433974	"Oosterhuis, 2008"
ABCB1	Alachlor	Homo Sapiens		35				Substrate	Sf9 cell membranes	Basal activity	18433974	"Oosterhuis, 2008"
ABCB1	Metolachlor	Homo Sapiens		10				Substrate	Sf9 cell membranes	Basal activity	18433974	"Oosterhuis, 2008"
ABCB1	Diazinon	Homo Sapiens		58.4			Inhibitor		NIH 3T3 cells	Calcein-AM	21783720	"Pivcevic, 2006"
ABCB1	Endosulfan	Homo Sapiens		2.8			Inhibitor		NIH 3T3 cells	Calcein-AM	21783720	"Pivcevic, 2006"
ABCB1	Phosalone	Homo Sapiens		3			Inhibitor		NIH 3T3 cells	Calcein-AM	21783720	"Pivcevic, 2006"
ABCB1	Propiconazole	Homo Sapiens		3.6			Inhibitor		NIH 3T3 cells	Calcein-AM	21783720	"Pivcevic, 2006"
ABCB1	Verapamil	Homo Sapiens		1.5			Inhibitor		NIH 3T3 cells	Calcein-AM	21783720	"Pivcevic, 2006"
ABCB1	Cyclosporin A	Homo Sapiens	0.7	-			Inhibitor		Sf9 cell membranes	Verapamil (prestimulation)	23169446	"Bircsak, 2013"
ABCB1	Endosulfan	Homo Sapiens	33.6	-			Inhibitor		Sf9 cell membranes	Verapamil (prestimulation)	23169446	"Bircsak, 2013"
ABCB1	"o,p'-DDT"	Homo Sapiens	7.8	-			Inhibitor		Sf9 cell membranes	Verapamil (prestimulation)	23169446	"Bircsak, 2013"
ABCB1	"p,p'-DDD"	Homo Sapiens	10.7	-			Inhibitor		Sf9 cell membranes	Verapamil (prestimulation)	23169446	"Bircsak, 2013"
ABCB1	"p,p'-DDT"	Homo Sapiens	3.8	-			Inhibitor		Sf9 cell membranes	Verapamil (prestimulation)	23169446	"Bircsak, 2013"
ABCB1	Verapamil	Homo Sapiens		-	1.9			Substrate	Sf9 cell membranes	Basal activity	23169446	"Bircsak, 2013"
ABCB1	Tetrabromobisphenol A	Homo Sapiens	22.9	-			Inhibitor		HEK293 cell membrane vesicles	  [3H]N-methylquinidine	24014645	"Dankers, 2013"
ABCB1	Amiodarone	Homo Sapiens		65.4			Inhibitor		MDCK-II cells	Calcein-AM	24375866	"Georgantzopoulou, 2014"
ABCB1	Pentachlorophenol	Homo Sapiens		1.6			Inhibitor		MDCK-II cells	Calcein-AM	24375866	"Georgantzopoulou, 2014"
ABCB1	Valspodar	Homo Sapiens		3.2			Inhibitor		MDCK-II cells	Calcein-AM	24375866	"Georgantzopoulou, 2014"
ABCB1	Verapamil	Homo Sapiens		63.9			Inhibitor		MDCK-II cells	Calcein-AM	24375866	"Georgantzopoulou, 2014"
ABCB1	Alpha-hydroxy-propiconazole	Homo Sapiens	366.4	-			Inhibitor		"Human ""K"" cell inverted vesicles"	N-methyl-quinidine	25268938	"Mazur, 2015"
ABCB1	Beta-hydroxy-propiconazole	Homo Sapiens	456.3	-			Inhibitor		"Human ""K"" cell inverted vesicles"	N-methyl-quinidine	25268938	"Mazur, 2015"
ABCB1	Erythromycin A	Homo Sapiens	145.1	-			Inhibitor		"Human ""K"" cell inverted vesicles"	N-methyl-quinidine	25268938	"Mazur, 2015"
ABCB1	Gamma-hydroxy-propiconazole	Homo Sapiens	350.8	-			Inhibitor		"Human ""K"" cell inverted vesicles"	N-methyl-quinidine	25268938	"Mazur, 2015"
ABCB1	Propiconazole	Homo Sapiens	122.9	-			Inhibitor		"Human ""K"" cell inverted vesicles"	N-methyl-quinidine	25268938	"Mazur, 2015"
ABCB1	Verapamil	Homo Sapiens	1.8	-			Inhibitor		"Human ""K"" cell inverted vesicles"	N-methyl-quinidine	25268938	"Mazur, 2015"
ABCB1	Methoxyfenozide	Homo Sapiens	44.3	-			Inhibitor		LLC-PK1 cells	Quinidine	26995013	"Miyata, 2016"
ABCB1	Tebufenozide	Homo Sapiens	21.5	-			Inhibitor		LLC-PK1 cells	Quinidine	26995013	"Miyata, 2016"
Abcb1a	Ivermectin	Mus musculus	0.4	-			Inhibitor		LLC-PK1 cells	Rhodamine 123	16384552	"Lespine, 2006"
Abcb1a	Aldrin	Mus musculus	26.2	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	Alpha-hexachlorocyclohexane	Mus musculus	26.8	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	Dieldrin	Mus musculus	21.8	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	Gamma-hexachlorocyclohexane	Mus musculus	82.6	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	Heptachlor	Mus musculus	10.4	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	Methoxychlor (not specified)	Mus musculus	21.7	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	Mirex	Mus musculus	3	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	"p,p'-DDD"	Mus musculus	72.5	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	"p,p'-DDE"	Mus musculus	31.3	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	"p,p'-DDT"	Mus musculus	25.6	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	PBDE-100	Mus musculus	23.2	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	PBDE-209	Mus musculus	6.5	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	PBDE-47	Mus musculus	22.6	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	PBDE-49	Mus musculus	35.6	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	PCB-118	Mus musculus	15.9	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	PCB-134	Mus musculus	12.5	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	PCB-142	Mus musculus	6.1	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	PCB-145	Mus musculus	4.4	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	PCB-146	Mus musculus	12.8	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	PCB-147	Mus musculus	23.6	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	PCB-152	Mus musculus	22	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	PCB-153	Mus musculus	21.8	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	PCB-154	Mus musculus	14.3	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	PCB-161	Mus musculus	43.2	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	PCB-168	Mus musculus	25.8	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	PCB-169	Mus musculus	9.7	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	PCB-170	Mus musculus	9.2	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	PCB-186	Mus musculus	6.9	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	PCB-187	Mus musculus	11.6	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	Perfluorooctanoic acid	Mus musculus	156.5	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
Abcb1a	Rutin	Mus musculus	1.1	-			Inhibitor		"Purified, detergent-solubilized protein"	Verapamil (prestimulation)	27152359	"Nicklisch, 2016"
ABCC1	Leukotriene C4	Homo Sapiens		-	0.067			Substrate	HeLa cell membrane vesicles	[3H]leukotriene C4	11375986	"Leslie, 2001"
ABCC1	NNAL-O-glucuronide	Homo Sapiens		-	39			Substrate	HeLa cell membrane vesicles	[3H]NNAL-O-glucuronide	11375986	"Leslie, 2001"
ABCC1	Ivermectin	Homo Sapiens	3.8	-			Inhibitor		HL60 cells	Calcein-AM	16384552	"Lespine, 2006"
ABCC1	Ivermectin	Homo Sapiens		-		0.5	Inhibitor		Sf9 cell membranes	N-ethylmaleimide-GS	16384552	"Lespine, 2006"
ABCC1	MK571	Homo Sapiens	2	-			Inhibitor		HL60 cells	Calcein-AM	16384552	"Lespine, 2006"
ABCC1	2-chloro-N-(2-methyl-6ethylphenyl)acetamide-SG	Homo Sapiens		-	23.8			Substrate	Sf9 cell membrane vesicles	2-chloro-N-(2-methyl-6ethylphenyl)acetamide-SG	18433974	"Oosterhuis, 2008"
ABCC2	Ivermectin	Homo Sapiens		-		3.6	Inhibitor		Sf9 cell membranes	Probenecid	16384552	"Lespine, 2006"
ABCC2	Allethrin	Homo Sapiens	48.2	-			Inhibitor		HuH-7 cells	"Carboxy-2',7'-dichlorofluorescein diacetate"	28099443	"Chedik, 2017"
ABCC2	Tetramethrin	Homo Sapiens	65.5	-			Inhibitor		HuH-7 cells	"Carboxy-2',7'-dichlorofluorescein diacetate"	28099443	"Chedik, 2017"
ABCC2	Allura red	Homo Sapiens	20	-			Inhibitor		Sf9 cell membrane vesicles	"5-Carboxy-2',7'-dichlorofluorescein"	28921988	"Sjostedt, 2017"
ABCC2	Brilliant blue	Homo Sapiens	3.22	-			Inhibitor		Sf9 cell membrane vesicles	"5-Carboxy-2',7'-dichlorofluorescein"	28921988	"Sjostedt, 2017"
ABCC2	Brlliant black	Homo Sapiens	7.21	-			Inhibitor		Sf9 cell membrane vesicles	"5-Carboxy-2',7'-dichlorofluorescein"	28921988	"Sjostedt, 2017"
ABCC2	Carmoisine	Homo Sapiens	29	-			Inhibitor		Sf9 cell membrane vesicles	"5-Carboxy-2',7'-dichlorofluorescein"	28921988	"Sjostedt, 2017"
ABCC3	Ivermectin	Homo Sapiens		-		2.7	Inhibitor		Sf9 cell membranes	Benzbromarone	16384552	"Lespine, 2006"
ABCC4	Tetrabromobisphenol A	Homo Sapiens	24	-			Inhibitor		HEK293 cell membrane vesicles	[3H]methotrexate	24014645	"Dankers, 2013"
ABCG2	Cyclosporin A	Homo Sapiens	1.4	-			Inhibitor		High Five insect cell crude membranes	Basal activity	17031644	"Pawarode, 2007"
ABCG2	Sirolimus	Homo Sapiens	1.53	-			Inhibitor		High Five insect cell crude membranes	Basal activity	17031644	"Pawarode, 2007"
ABCG2	Tacrolimus	Homo Sapiens	2.1	-			Inhibitor		High Five insect cell crude membranes	Basal activity	17031644	"Pawarode, 2007"
ABCG2	Endosulfan	Homo Sapiens	6.9	-			Inhibitor		Sf9 cell membranes	Sulfasalazine (prestimulation)	23169446	"Bircsak, 2013"
ABCG2	Hoechst 33342	Homo Sapiens	3.1	-			Inhibitor		Sf9 cell membranes	Sulfasalazine (prestimulation)	23169446	"Bircsak, 2013"
ABCG2	"o,p'-DDT"	Homo Sapiens	10.4	-			Inhibitor		Sf9 cell membranes	Sulfasalazine (prestimulation)	23169446	"Bircsak, 2013"
