Transporter	Substrate	Km	CellSystem	Reference
SLC10A2	glycoursodeoxycholate	4.1	COS1-ASBT	9458785
SLC10A2	taurocholate	13.3	COS1-ASBT	9458785
ABCB1	indinavir	0.47	ATPase assay of High Five-MDR1 membranes	9530286
ABCB1	paclitaxel	16.5	MDR1-expressing Caco-2 cells	9531522
SLC15A2	5-aminolevulinic-acid	227	PEPT2-expressing oocytes	9637710
SLC15A1	5-aminolevulinic-acid	394	PEPT1-expressing oocytes	9637710
SLC22A1	tetraethylammonium	229	HeLa-OCT1	9655880
SLC22A2	amantadine	27	HEK293-OCT2	9687576
SLC22A2	memantine	34	HEK293-OCT2	9687576
SLC22A2	n-methylpyridinium	16	HEK293-OCT2	9687576
SLC15A1	valacyclovir	5940	PEPT1-expressing oocytes	9753615
ABCB1	estradiol-17beta-glucuronide	62	MDR1-expressing Sf9 vesicles	9794924
ABCC2	irinotecan	48.9	bile canalicular membrane vesicles	9823324
ABCC2	sn-38	180	bile canalicular membrane vesicles	9823324
ABCC2	sn-38-glucuronide	5.7	bile canalicular membrane vesicles	9823324
SLC22A6	para-aminohippurate	9.3	OAT1-expressing oocytes	9887087
SLC22A6	para-aminohippurate	5	HeLa-OAT1	9950961
ABCC2	24-dinitrophenyl-s-glutathione	70	MRP2-expressing MDCK vesicles	10024515
SLC15A1	glycylsarcosine	500	CHO-PEPT1	10052994
ABCB1	colchicine	1.33	MDR1-expressing CEM/VLB100 vesicles	10075817
SLC22A2	tetraethylammonium	33.8	OCT2-expressing oocytes	10082798
SLC15A1	valacyclovir	1640	CHO-PEPT1	10087037
SLC22A4	quinidine	ND	OCTN1-expressing oocytes	10215651
SLC22A4	tetraethylammonium	195	OCTN1-expressing oocytes	10215651
SLC22A4	verapamil	ND	OCTN1-expressing oocytes	10215651
ABCC1	estradiol-17beta-glucuronide	1.5	MRP1-expressing HEK293 vesicles	10220572
ABCC2	estradiol-17beta-glucuronide	7.2	MRP2-expressing HEK293 vesicles	10220572
ABCC2	leukotriene_c4	1	MRP2-expressing MDCK vesicles	10220572
ABCC2	24-dinitrophenyl-s-glutathione	193	Liver canalicular membrane vesicles	10330006
ABCC2	e3040_glucuronide	14.1	Liver canalicular membrane vesicles	10330006
SLC22A3	histamine	180	HEK293-OCT3	10385678
SLCO1A2	fexofenadine	6.4	HeLa-OATP1A2	10421612
ABCC2	bilirubin_bisglucuronide	0.9	MRP2-expressing HEK vesicles	10421658
ABCC2	bilirubin_monoglucuronide	0.7	MRP2-expressing HEK vesicles	10421658
SLC22A5	tetraethylammonium	63	HRPE-hOCTN2	10454528
SLC22A6	adefovir	30	OAT1-expressing oocytes	10462545
SLC22A6	cidofovir	46	OAT1-expressing oocytes	10462545
SLC22A6	para-aminohippurate	4	OAT1-expressing oocytes	10462545
SLC22A5	acetyl-l-carnitine	8.5	HEK293-OCTN2	10525100
SLC22A5	d-carnitine	10.9	HEK293-OCTN2	10525100
SLC22A5	l-carnitine	4.3	HEK293-OCTN2	10525100
SLC22A5	quinidine	ND	HEK293-OCTN2	10525100
SLC22A5	verapamil	ND	HEK293-OCTN2	10525100
SLC10A1	taurocholate	7.9	HeLa-NTCP	10565843
ABCC2	leukotriene_c4	0.26	MRP2-expressing LLC PK1 vesicles	10570049
ABCC2	24-dinitrophenyl-s-glutathione	16.9	Caco-2 brush border membrane vesicles	10604957
ABCC2	estradiol-17beta-glucuronide	9.4	Caco-2 brush border membrane vesicles	10604957
ABCB1	vinblastine	99.4	MDR1-expressing LLC-PK1 cells	10617675
SLC22A5	l-carnitine	3.5	HeLa-OCTN2	10636865
SLC22A11	dehydroepiandrosterone-sulfate	0.63	OAT4-expressing oocytes	10660625
SLC22A11	estrone_3-sulfate	1.01	OAT4-expressing oocytes	10660625
SLC22A6	adefovir	23.8	CHO-OAT1	10703662
SLC22A6	cidofovir	58	CHO-OAT1	10703662
SLC22A6	para-aminohippurate	15.4	CHO-OAT1	10703662
ABCB1	losartan	232	MDR1-expressing Caco-2 cells	10725273
ABCB1	losartan	403.2	MDR1-expressing MDCK cells	10725273
ABCC1	para-aminohippurate	372	MRP1-expressing HeLa vesicles	10760098
ABCC2	para-aminohippurate	880	MRP2-expressing HEK293 vesicles	10760098
ABCC5	cyclic-amp	379	MRP5-expressing V79 vesicles	10893247
ABCC5	cyclic-gmp	2.1	MRP5-expressing V79 vesicles	10893247
ABCB4	digoxin	ND	Nucleotide trapping assay with Sf9-MDR3 membranes	10918072
ABCB4	paclitaxel	ND	Nucleotide trapping assay with Sf9-MDR3 membranes	10918072
ABCB4	verapamil	ND	Nucleotide trapping assay with Sf9-MDR3 membranes	10918072
ABCB4	vinblastine	ND	Nucleotide trapping assay with Sf9-MDR3 membranes	10918072
SLC22A6	6-carboxyfluorescein	3.93	CHO-OAT1	10929807
SLC22A6	adefovir	23.8	CHO-OAT1	10929807
SLC22A6	cidofovir	58	CHO-OAT1	10929807
SLC22A6	glutarate	10.7	CHO-OAT1	10929807
SLC22A6	para-aminohippurate	15.4	CHO-OAT1	10929807
ABCC1	4-hydroxynonenal-glutathione	1.6	MRP1-expressing High Five vesicles	10947971
SLC22A3	n-methylpyridinium	47	HRPE-OCT3	10966924
SLC22A5	d-carnitine	98.3	OCTN2-expressing oocytes	10966938
SLC22A5	l-carnitine	4.8	OCTN2-expressing oocytes	10966938
ABCC3	estradiol-17beta-glucuronide	25.6	MRP3-expressing HEK293 vesicles	10987286
ABCC3	glycocholate	248	MRP3-expressing HEK293 vesicles	10987286
ABCC3	leukotriene_c4	5.3	MRP3-expressing HEK293 vesicles	10987286
ABCC3	methotrexate	776	MRP3-expressing HEK293 vesicles	10987286
ABCC3	s-(2_4-dinitrophenyl)-glutathione	5.7	MRP3-expressing HEK293 vesicles	10987286
ABCB1	grepafloxacin	580	MDR1-expressing Caco-2 cells	10992002
ABCB1	levofloxacin	5600	MDR1-expressing Caco-2 cells	10992002
SLC22A5	tetraethylammonium	215.7	HEK293-hOCTN2	11010964
ABCC1	estrone_3-sulfate	0.73	MRP1-expressing HeLa vesicles	11102445
ABCC1	estrone_3-sulfate	2.1	MRP1-expressing HeLa vesicles	11102445
ABCC1	leukotriene_c4	0.167	MRP1-expressing HeLa vesicles	11102445
SLCO1B3	17beta-glucuronosyl-estradiol	5.4	HEK293-OATP1B3	11134001
SLCO1B1	17beta-glucuronosyl-estradiol	8.2	HEK293-OATP1B1	11134001
SLCO1B1	bisglucuronosyl-bilirubin	0.28	HEK293-OATP1B1	11134001
SLCO1B1	bromsulphthalein	0.14	HEK293-OATP1B1	11134001
SLCO1B3	bromsulphthalein	3.3	HEK293-OATP1B3	11134001
SLCO1B1	cholate	11.4	HEK293-OATP1B1	11134001
SLCO1B1	cholyl-taurine	10	HEK293-OATP1B1	11134001
SLCO1B1	dehydroepiandrosterone-sulfate	21.5	HEK293-OATP1B1	11134001
SLCO1B1	estrone_3-sulfate	12.5	HEK293-OATP1B1	11134001
SLCO1B1	monoglucuronosyl-bilirubin	0.1	HEK293-OATP1B1	11134001
SLCO1B3	monoglucuronosyl-bilirubin	0.5	HEK293-OATP1B3	11134001
SLCO1B1	bromsulphthalein	0.3	OATP1B1-expressing oocytes	11159893
SLCO1B3	bromsulphthalein	0.4	OATP1B3-expressing oocytes	11159893
SLCO2B1	bromsulphthalein	0.7	OATP2B1-expressing oocytes	11159893
SLCO1A2	bromsulphthalein	ND	OATP1A2-expressing oocytes	11159893
SLCO1A2	dehydroepiandrosterone-sulfate	ND	OATP1A2-expressing oocytes	11159893
SLCO1B3	digoxin	ND	OATP1B3-expressing oocytes	11159893
SLCO2B1	estrone_3-sulfate	6.3	OATP2B1-expressing oocytes	11159893
SLC22A8	estrone_3-sulfate	7.5	S2-OAT3	11205882
SLC22A8	cimetidine	57.4	OAT3-expressing oocytes	11306713
SLC22A8	estrone_3-sulfate	3.1	OAT3-expressing oocytes	11306713
SLC22A8	methotrexate	10.9	OAT3-expressing oocytes	11306713
SLC22A8	para-aminohippurate	87.2	OAT3-expressing oocytes	11306713
SLCO1A2	thyroxine	ND	OATP1A2-expressing oocytes	11316767
SLCO1B3	methotrexate	24.7	OATP1B3-expressing oocytes	11375950
SLCO1B3	methotrexate	39.4	MDCK-OATP1B3	11375950
SLCO1B1	methotrexate	ND	OATP1B1-expressing oocytes	11375950
SLCO1B3	taurocholate	5.8	OATP1B3-expressing oocytes	11375950
SLCO1B3	triiodothyronine	6.4	OATP1B3-expressing oocytes	11375950
ABCC1	leukotriene_c4	0.067	HeLa cell membrane vesicles	11375986
ABCC1	nnal-o-glucuronide	39	HeLa cell membrane vesicles	11375986
SLC22A8	estrone_3-sulfate	2.21	S2-OAT3	11426832
SLC22A6	para-aminohippurate	20.1	S2-OAT1	11426832
ABCG2	daunorubicin	2.5	ATP hydrolysis assay of BCRP-expressing Sf9 vesicles	11437380
ABCG2	doxorubicin	5	ATP hydrolysis assay of BCRP-expressing Sf9 vesicles	11437380
ABCG2	mitoxantrone	7	ATP hydrolysis assay of BCRP-expressing Sf9 vesicles	11437380
ABCC4	cyclic-amp	44.5	MRP4-expressing Sf9 vesicles	11447229
ABCC4	cyclic-gmp	9.69	MRP4-expressing Sf9 vesicles	11447229
ABCC4	estradiol-17beta-glucuronide	30.3	MRP4-expressing Sf9 vesicles	11447229
ABCB1	paclitaxel	0.014	MDR1-expressing MCF7 cells	11504826
ABCB1	quinidine	18.2	MDR1-expressing insect vesicles	11504828
SLC22A6	tenofovir	33.8	CHO-OAT1	11563082
ABCC3	estradiol-17beta-glucuronide	17.7	MRP3-expressing Sf9 vesicles	11581266
ABCC3	etoposide-glucuronide	11.4	MRP3-expressing Sf9 vesicles	11581266
ABCC3	folic-acid	1960	MRP3-expressing HEK293 vesicles	11585759
ABCC3	leucovorin	1740	MRP3-expressing HEK293 vesicles	11585759
ABCC3	methotrexate	620	MRP3-expressing HEK293 vesicles	11585759
ABCC1	methotrexate	2150	MRP1-expressing HEK293 vesicles	11585759
SLC22A6	para-aminohippurate	3.9	OAT1-expressing oocytes	11602689
SLC22A6	ochratoxin-a	0.42	S2-OAT1	11669456
SLC22A8	ochratoxin-a	0.75	S2-OAT3	11669456
ABCG2	sn-38	4	BCRP-expressing PC-6/SN2-5H vesicles	11688982
ABCG2	sn-38-glucuronide	26	BCRP-expressing PC-6/SN2-5H vesicles	11688982
SLC15A1	glycylsarcosine	310	Caco-2	11714740
SLC10A2	taurocholate	16	COS-ASBT	11742882
ABCB1	damgo	43	MDR1-expressing SW1573/S1 vesicles	11786185
SLC22A11	tetracycline	122.7	S2-OAT4	11855680
SLC22A7	tetracycline	439.9	S2-OAT2	11855680
SLC22A8	tetracycline	566.2	S2-OAT3	11855680
ABCC4	methotrexate	1300	MRP4-expressing Sf9 vesicles	11856762
SLC22A1	acyclovir	151.2	S2-OCT1	11861798
SLC22A6	acyclovir	342	S2-OAT1	11861798
SLC22A1	ganciclovir	516.2	S2-OCT1	11861798
SLC22A6	ganciclovir	896	S2-OAT1	11861798
SLC22A7	zidovudine	26.8	S2-OAT2	11861798
SLC22A6	zidovudine	45.9	S2-OAT1	11861798
SLC22A8	zidovudine	145	S2-OAT3	11861798
SLC22A11	zidovudine	152	S2-OAT4	11861798
ABCC6	leukotriene_c4	0.6	MRP6-expressing Sf9 vesicles	11880368
ABCC6	n-ethylmaleimide-s-glutathione	282	MRP6-expressing Sf9 vesicles	11880368
ABCB1	etoposide	255	MDCK II-MDR1	11901101
ABCC2	etoposide	617	MDCK II-MRP2	11901101
SLC22A2	prostaglandin-e2	0.0289	S2-OCT2	11907186
SLC22A11	prostaglandin-e2	0.154	S2-OAT4	11907186
SLC22A8	prostaglandin-e2	0.345	S2-OAT3	11907186
SLC22A1	prostaglandin-e2	0.657	S2-OCT1	11907186
SLC22A7	prostaglandin-e2	0.713	S2-OAT2	11907186
SLC22A6	prostaglandin-e2	0.97	S2-OAT1	11907186
SLC22A2	prostaglandin-f2alpha	0.344	S2-OCT2	11907186
SLC22A1	prostaglandin-f2alpha	0.477	S2-OCT1	11907186
SLC22A6	prostaglandin-f2alpha	0.575	S2-OAT1	11907186
SLC22A11	prostaglandin-f2alpha	0.692	S2-OAT4	11907186
SLC22A8	prostaglandin-f2alpha	1.092	S2-OAT3	11907186
SLC22A7	prostaglandin-f2alpha	0.425	S2-OAT2	12023506
ABCB1	chlorpromazine	27.4	MDR1-expressing insect vesicles	12031686
ABCB1	clozapine	58	MDR1-expressing insect vesicles	12031686
ABCB1	haloperidol	33	MDR1-expressing insect vesicles	12031686
ABCB1	olanzapine	8.3	MDR1-expressing insect vesicles	12031686
ABCB1	quetiapine	12.3	MDR1-expressing insect vesicles	12031686
ABCB1	risperidone	12.4	MDR1-expressing insect vesicles	12031686
ABCC4	folic-acid	170	MRP4-expressing Sf9 vesicles	12036927
ABCC4	methotrexate	220	MRP4-expressing Sf9 vesicles	12036927
SLC22A11	ochratoxin-a	22.9	S2-OAT4	12063169
ABCB1	irinotecan	45.5	MDCK II-MDR1	12065434
ABCC2	irinotecan	90.8	MDCK II-MRP2	12065434
ABCB1	irinotecan	116.1	Caco-2	12065434
SLCO1B3	rifampicin	2.3	OATP1B3-expressing oocytes	12085361
SLCO1B1	rifampicin	13	OATP1B1-expressing oocytes	12085361
SLC22A11	estrone_3-sulfate	9.9	S2-OAT4	12130730
SLC22A11	methotrexate	17.8	S2-OAT4	12130730
SLC22A8	methotrexate	21.1	S2-OAT3	12130730
SLC22A6	methotrexate	554	S2-OAT1	12130730
ABCB1	vinblastine	89.2	Caco-2	12134945
ABCB1	vinblastine	253	MDCK-MDR1	12134945
ABCC2	vinblastine	137.3	MDCK II-MRP2	12134946
ABCC6	cisplatin	ND	MRP6-expressing CHO vesicles	12414644
ABCC6	daunorubicin	ND	MRP6-expressing CHO vesicles	12414644
ABCB1	berberine	>300	Caco-2	12434406
SLC10A2	taurocholate	9.4	HEK-ASBT	12475240
SLCO1B1	rifampicin	1.5	HeLa-OATP1B1	12490595
ABCC4	dehydroepiandrosterone-sulfate	1.9	MRP4-expressing Sf9 vesicles	12523936
SLCO1B1	bilirubin	0.00076	OATP1B1-expressing oocytes	12568656
SLCO1B3	bilirubin	0.0391	OATP1B3-expressing oocytes	12568656
ABCG2	4-methylumbelliferone-sulfate	12.9	BCRP-expressing vesicles from mouse lymphoma (P388) cells	12682043
ABCG2	estrone_3-sulfate	16.6	BCRP-expressing vesicles from mouse lymphoma (P388) cells	12682043
OSTalpha	digoxin	ND	OSTalpha-OSTbeta expressing oocytes	12719432
OSTbeta	digoxin	ND	OSTalpha-OSTbeta expressing oocytes	12719432
OSTalpha	estrone_3-sulfate	320	OSTalpha-OSTbeta expressing oocytes	12719432
OSTbeta	estrone_3-sulfate	320	OSTalpha-OSTbeta expressing oocytes	12719432
OSTalpha	prostaglandin-e2	ND	OSTalpha-OSTbeta expressing oocytes	12719432
OSTbeta	prostaglandin-e2	ND	OSTalpha-OSTbeta expressing oocytes	12719432
ABCC3	methotrexate	910	MRP1-expressing MCF7 vesicles	12731885
ABCC1	methotrexate	930	MRP1-expressing MCF7 vesicles	12731885
ABCC4	prostaglandin-e1	2.1	MRP4-expressing Sf9 vesicles	12835412
ABCC4	prostaglandin-e2	3.4	MRP4-expressing Sf9 vesicles	12835412
ABCC1	estrone_3-sulfate	4.2	MRP1-expressing HEK vesicles	12867490
ABCG2	estradiol-17beta-glucuronide	44.2	BCRP-expressing HEK293 vesicles	12874005
ABCG2	methotrexate	1340	BCRP-expressing HEK293 vesicles	12874005
ABCG2	estrone_3-sulfate	6.8	BCRP-expressing K562 vesicles	12920197
ABCC3	estradiol-17beta-glucuronide	29	MRP3-expressing HEK293 vesicles	12924948
ABCC3	taurocholate	30	MRP3-expressing HEK293 vesicles	12924948
ABCB1	colchicine	1640	Caco-2	12948018
ABCB1	digoxin	177	Caco-2	12948018
ABCB1	etoposide	461	Caco-2	12948018
ABCG2	methotrexate	681	BCRP-expressing MCF7/MX vesicles	14500392
SLCO1B1	phalloidin	39	HEK293 cells	14530907
SLC22A11	bumetanide	306	S2-OAT4	14610216
SLC22A8	bumetanide	1586	S2-OAT3	14610216
SLC22A8	furosemide	ND	S2-OAT3	14610216
SLCO2B1	estrone_3-sulfate	8.09	HEK293-OATP2B1	14610227
SLCO2B1	fexofenadine	ND	HEK293-OATP2B1	14610227
SLCO2B1	pravastatin	2250	HEK293-OATP2B1	14610227
SLCO2B1	taurocholate	71.8	HEK293-OATP2B1	14610227
SLC10A1	cholate	12	HeLa-NTCP	14660639
SLC10A1	estrone_3-sulfate	27	HeLa-NTCP	14660639
SLC10A1	taurocholate	7.5	HeLa-NTCP	14660639
ABCC2	3-o-glucuronide_of_ethinylestradiol	35.1	MRP2-expressing sf9 vesicles	14722317
ABCC3	ethinylestradiol-glucuronide	9.2	MRP3-expressing Sf9 vesicles	14722317
SLC15A2	glycylsarcosine	170	HEK293-PEPT2	15020234
SLC15A1	cephalexin	7.97	Caco-2	15056866
SLC22A4	l-carnitine	571	HEK293-hOCTN1	15107849
SLCO1B3	cholecystokinin-8	3.82	HEK293-OATP1B3	15159445
SLCO1B1	estradiol-17beta-glucuronide	8.29	HEK293-OATP1B1	15159445
SLCO1B3	estradiol-17beta-glucuronide	24.6	HEK293-OATP1B1	15159445
SLCO1B1	estrone_3-sulfate	0.46	HEK293-OATP1B1	15159445
SLCO1B1	pitavastatin	3	HEK293-OATP1B1	15159445
SLCO1B3	pitavastatin	3.25	HEK293-OATP1B3	15159445
ABCB1	digoxin	73	Caco-2	15180340
ABCB1	paclitaxel	65	Caco-2	15180340
ABCB1	saquinavir	15.4	Caco-2	15180340
ABCG2	imatinib	ND	Intracellular accumulation in BCRP-expressing HEK293 cells inhbited with Ko-143	15251980
SLCO1B1	rosuvastatin	8.5	OATP1B1-expressing oocytes	15289793
ABCB1	fexofenadine	150	Caco-2	15359574
ABCC4	para-aminohippurate	160	MRP4-expressing Sf9 vesicles	15504935
ABCC2	para-aminohippurate	2100	MRP2-expressing MDCK II vesicles	15504935
ABCC2	para-aminohippurate	5000	MRP2-expressing Sf9 vesicles	15504935
SLC22A8	methotrexate	17.2	OAT3-expressing oocytes	15548848
SLC22A6	methotrexate	724	OAT1-expressing oocytes	15548848
SLCO2B1	estrone_3-sulfate	7.14	HEK293-OATP2B1	15640378
SLCO2B1	glyburide	6.26	HEK293-OATP2B1	15640378
SLC22A7	erythromycin	18.5	OAT2-expressing oocytes	15708966
SLC22A7	theophylline	12.6	OAT2-expressing oocytes	15708966
SLC22A4	ergothioneine	21	HEK-OCTN1	15795384
SLCO1A2	saquinavir	36.4	OATP1A2-expressing oocytes	15832500
ABCB1	paclitaxel	0.7	MDR1-expressing Sf9 vesicles	15863325
ABCB1	verapamil	2	MDR1-expressing Sf9 vesicles	15863325
SLC22A8	cortisol	2.4	OAT3-expressing oocytes	15864504
ABCC5	5-fluorodeoxyuridine-monophosphate	1100	MRP5-expressing HEK293 vesicles	15897250
ABCC5	folic-acid	1000	MRP5-expressing HEK293 vesicles	15899835
ABCC5	methotrexate	1200	MRP5-expressing HEK293 vesicles	15899835
ABCC5	methotrexate-glucuronide	700	MRP5-expressing HEK293 vesicles	15899835
SLC22A7	5-fluorouracil	0.0538	OAT2-expressing oocytes	15901346
SLC22A7	bumetanide	7.52	OAT2-expressing oocytes	15901346
SLC22A7	paclitaxel	0.1428	OAT2-expressing oocytes	15901346
ABCB11	pravastatin	124	BSEP-expressing HEK293 vesicles	15901796
ABCB11	taurocholate	4.64	BSEP-expressing HEK293 vesicles	15901796
ABCG2	pitavastatin	5.73	BCRP-expressing HEK293 vesicles	15955871
SLCO1B1	atorvastatin	12.4	HEK293-OATP1B1	15970799
SLCO1B1	pravastatin	85.7	HEK293-OATP1B1	15970799
SLC22A2	cimetidine	72.6	HEK293-OCT2	16006492
SLC22A2	famotidine	56.1	HEK293-OCT2	16006492
SLC22A2	ranitidine	65.2	HEK293-OCT2	16006492
SLCO1B3	fexofenadine	108	HEK293-OATP1B3	16014768
SLCO1B3	bromsulphthalein	2.2	MDCKII-ABCC2-OATP1B3	16046661
SLCO1B3	fluvastatin	7	MDCK II-OATP1B3	16046661
SLC22A8	cefaclor	ND	HEK293-OAT3	16098483
SLC22A8	ceftizoxime	ND	HEK293-OAT3	16098483
SLC22A8	estrone_3-sulfate	6.3	HEK293-OAT3	16098483
SLC22A8	estrone_3-sulfate	6.3	HEK293 cells	16098483
SLC22A6	para-aminohippurate	28	HEK293-OAT1	16098483
SLC22A6	para-aminohippurate	28	HEK293 cells	16098483
SLC22A12	oxypurinol	794	URAT1-expressing oocytes	16135657
SLC22A1	ranitidine	70	OCT1-expressing oocytes	16141367
ABCB1	ritonavir	0.8	MDR1 transfected LLC-PK1	16184031
ABCB1	saquinavir	14.5	MDR1 transfected LLC-PK1	16184031
SLCO1B3	paclitaxel	6.79	OATP1B3-expressing oocytes	16210916
ABCC3	hyocholate-glucuronide	0.2	MRP3-expressing Sf9 vesicles	16225954
ABCC3	hyodeoxycholate-glucuronide	0.7	MRP3-expressing Sf9 vesicles	16225954
SLC22A8	pitavastatin	3.3	OAT3-expressing oocytes	16259759
SLCO1A2	pitavastatin	3.4	OATP1A2-expressing oocytes	16259759
SLCO1B1	pitavastatin	3.6	OATP1B1-expressing oocytes	16259759
SLCO1B3	pitavastatin	3.8	OATP1B3-expressing oocytes	16259759
SLC10A1	pitavastatin	15.1	NTCP-expressing oocytes	16259759
SLC22A3	etilefrine	2800	CHO-OCT3	16263091
SLC22A2	metformin	990	HEK293-OCT2	16272756
SLC22A1	metformin	1470	HEK293-OCT1	16272756
ABCC4	chenodeoxycholylglycine	5.9	MRP4-expressing V79 vesicles	16282361
ABCC4	chenodeoxycholyltaurine	3.6	MRP4-expressing V79 vesicles	16282361
ABCC4	cholate	14.8	MRP4-expressing V79 vesicles	16282361
ABCC4	cholyltaurine	7.7	MRP4-expressing V79 vesicles	16282361
ABCC4	deoxycholylglycine	6.7	MRP4-expressing V79 vesicles	16282361
SLCO1B1	estradiol-17beta-glucuronide	2.5	HEK293-OATP1B1	16316932
OSTalpha	dehydroepiandrosterone-sulfate	ND	OSTalpha-OSTbeta expressing oocytes	16317684
OSTbeta	dehydroepiandrosterone-sulfate	ND	OSTalpha-OSTbeta expressing oocytes	16317684
OSTalpha	taurocholate	ND	OSTalpha-OSTbeta expressing oocytes	16317684
OSTbeta	taurocholate	ND	OSTalpha-OSTbeta expressing oocytes	16317684
SLC47A1	n-methylpyridinium	16	HEK293-MATE1	16330770
SLC47A1	tetraethylammonium	220	HEK293-MATE1	16330770
ABCC5	5-fluorodeoxyuridine-monophosphate	1100	MRP5-expressing HEK293 vesicles	16337112
ABCC5	carboxydichlorofluorescein	11.6	MRP5-expressing HEK293 vesicles	16337112
ABCC5	methotrexate	1174	MRP5-expressing HEK293 vesicles	16337112
ABCC5	pemetrexed	281	MRP5-expressing HEK293 vesicles	16337112
SLC22A2	4-(4-dimethylamino)styryl-n-methylpyridinium_(asp)	24	HEK293-OCT2	16394027
SLC22A2	amiloride	95	HEK293-OCT2	16394027
SLC15A2	amoxicillin	1040	MDCK-PEPT2	16434549
SLC15A1	amoxicillin	ND	MDCK-PEPT1	16434549
SLC15A2	cefaclor	72	MDCK-PEPT2	16434549
ABCC4	topotecan	1.66	HepG2-MRP4	16454695
SLC22A8	cimetidine	113	HEK293-OAT3	16455804
SLC22A8	fexofenadine	70.2	HEK293-OAT3	16455804
SLCO1B3	amantinin	3.7	MDCK II-OATP1B3	16495352
SLCO1B1	olmesartan	42.6	OATP1B1-expressing oocytes	16501004
SLCO1B3	olmesartan	71.8	OATP1B3-expressing oocytes	16501004
SLC22A2	dopamine	1400	HEK293-OCT2	16581093
SLC22A3	epinephrine	240	HEK293-OCT3	16581093
SLC22A2	epinephrine	420	HEK293-OCT2	16581093
SLC22A3	histamine	220	HEK293-OCT3	16581093
SLC22A2	histamine	940	HEK293-OCT2	16581093
SLC22A2	norepinephrine	1500	HEK293-OCT2	16581093
SLC22A3	norepinephrine	2630	HEK293-OCT3	16581093
SLC22A2	serotonin	290	HEK293-OCT2	16581093
rat_Slc22a1	dopamine	1600	HEK293-rOCT1	16581093
rat_Slc22a1	serotonin	900	HEK293-rOCT1	16581093
rat_Slc22a1	norepinephrine	800	HEK293-rOCT1	16581093
rat_Slc22a1	epinephrine	1100	HEK293-rOCT1	16581093
rat_Slc22a2	dopamine	2100	HEK293-rOCT2	16581093
rat_Slc22a2	serotonin	460	HEK293-rOCT2	16581093
rat_Slc22a2	norepinephrine	210	HEK293-rOCT2	16581093
rat_Slc22a2	epinephrine	1370	HEK293-rOCT2	16581093
rat_Slc22a2	histamine	890	HEK293-rOCT2	16581093
rat_Slc22a3	dopamine	1500	HEK293-rOCT3	16581093
rat_Slc22a3	serotonin	500	HEK293-rOCT3	16581093
rat_Slc22a3	norepinephrine	1900	HEK293-rOCT3	16581093
rat_Slc22a3	epinephrine	1500	HEK293-rOCT3	16581093
rat_Slc22a3	histamine	540	HEK293-rOCT3	16581093
SLCO2B1	estrone_3-sulfate	20.9	HEK293-OATP2B1	16595711
SLCO2B1	pitavastatin	1.17	HEK293-OATP2B1	16595711
