Transporter	Inhibitor	IC50 (uM)	KI (uM)	Substrate used	Cell system	References	OtherLink	
ABCC2	Zolmitriptan	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Maxipost	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tadalafil	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tenoxicam	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tetracycline	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Metronidazole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Mizoribine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Phenacetin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tinidazole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Tobramycin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Cidofovir	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Clarithromycin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Diltiazem	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Emetine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Clopamide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Dexchlorpheniramine maleate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Pyrazinamide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Sulfacetamide sodium	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Terfenadine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Piroxicam	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Voglibose	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Warfarin sodium	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Pramipexole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Terbinafine hydrochloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Triamterene	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Trilostane	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Timolol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Valacyclovir hydrochloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Sulfamethoxazole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Etidronate disodium	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Flutiaddinfoone propionate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Quetiapine hemifumarate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Fenoldopam mesylate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Fleroxacin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Atenolol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Benznidazole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Bivalirudin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Caffeine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Carvedilol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Enalaprilat	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Eszopiclone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Epirubicin hydrochloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Eptifibatide acetate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Imiquimod	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Etretinate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Iohexol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Iproniazid	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Lacosamide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Lansoprazole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Lenalidomide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ipratropium bromide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Formoterol fumarate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Gatifloxacin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Plerixafor	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Stavudine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Flupirtine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ciprofloxacin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Desipramine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Doripenem	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Eflornithine hydrochloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Oxybutynin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Primaquine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Dasatinib	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Cisapride Monohydrate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Octreotide Acetate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Mifepristone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ritonavir	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Racecadotril	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Cilostazol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Chlordiazepoxide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Cefotaxime sodium	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Quinidine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Chloroquine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Aminoglutethimide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Aprepitant	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Cytarabine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Misoprostol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Fluphenazine Hydrochloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Adefovir Dipivoxil	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Telithromycin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Saquinavir	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Nelfinavir	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Fusidic Acid	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Rosuvastatin calcium	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Cefazolin sodium	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ofloxacin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Medroxyprogesterone Acetate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Felodipine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Simvastatin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Iloperidone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Lovastatin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Dronedarone Hydrochloride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Nifedipine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Nicardipine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Danazol	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Drotaverine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Rabeprazole Sodium	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Praziquantel	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Nefazodone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Docetaxel	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Lapatinib Tosylate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Posaconazole	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Deferasirox	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Pazopanib	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Cinnarizine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ciglitazone	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Rimonabant	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Scopolamine hydrobromide trihydrate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Mirtazapine	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Natamycin	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Ondansetron	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Oxacillin sodium	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Etoposide	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Pentoxifylline	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Sildenafil citrate	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Felbinac	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Acarbose	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Amisulpride	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
ABCC2	Artemether	133		Estradiol-17beta-glucuronide	MRP2-expressing sf9 vesicles	23956101		
