Transporter	Inhibitor	Ki (_M)	IC50 (_M)	Substrate used	Cell System	Reference (PMID or website)
OATP1B1	Clarithromycin		75	Lithocholyl-(Ne-NBD)-lysine	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/21372390/
OATP1B1	Clopidogrel		3.95	Cerivastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23652407/
OATP1B1	Clopidogrel		>100	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23652407/
OATP1B1	Cyclosporine	0.82	1.88	Atorvastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/21861202/
OATP1B1	Cyclosporine		0.3	Bosentan	CHO-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/17496208/
OATP1B1	Cyclosporine	0.238		Cerivastatin	MDCK II-OAT1B1	https://pubmed.ncbi.nlm.nih.gov/12538813/
OATP1B1	Cyclosporine	2.32		Cilostazol	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/28535976/
OATP1B1	Cyclosporine	0.116		Dichlorofluorescein	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26696140/
OATP1B1	Cyclosporine		0.05	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/17901929
OATP1B1	Cyclosporine	1.3	1.4	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/22541068/
OATP1B1	Dabrafenib		1.4	Estradiol-17beta-glucuronide	CHO-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/28320730/
OATP1B1	Darolutamide		3.8	Pravastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/31571146/
OATP1B1	Dasatinib		2.33	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/28373111/
OATP1B1	Digitoxin		14.2	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/24754247/
OATP1B1	Digoxin		63	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/24754247/
OATP1B1	Doxorubicin	150	160	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/22541068/
OATP1B1	Eltrombopag		0.09	Rosuvastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/24440960/
OATP1B1	Erlotinib	21	21	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/22541068/
OATP1B1	Erythromycin		217	Bromsulphthalein (BSP)	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/17296622/
OATP1B1	Erythromycin	5.27		Dichlorofluorescein	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26696140/
OATP1B1	Estrone 3-sulfate	0.0449		Dichlorofluorescein	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26696140/
OATP1B1	Estrone 3-sulfate		0.06	Fluorescein-Methotrexate	CHO-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/20448812
OATP1B1	Ethambutol		57.6	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26976869/
OATP1B1	Etomidate		>100	Fluorescein-Methotrexate	CHO-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/20448812
OATP1B1	Everolimus		0.23	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/31047942/
OATP1B1	Everolimus		0.16	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/31047942/
OATP1B1	Everolimus		0.19	Rosuvastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/31047942/
OATP1B1	Fusidic acid		3.9	Rosuvastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/27458210/
OATP1B1	Gadoxetic acid		600	Bromsulphthalein (BSP)	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/20406852/
OATP1B1	Gemfibrozil	68.05	156.2	Atorvastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/21861202/
OATP1B1	Gemfibrozil	18.1		Dichlorofluorescein	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26696140/
OATP1B1	Gemfibrozil		7.4	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/17901929
OATP1B1	Glimepiride		3.55	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23248200/
OATP1B1	Glimepiride		3.62	Rosuvastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23248200/
OATP1B1	Glipizide		45.3	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23248200/
OATP1B1	Glipizide		110	Rosuvastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23248200/
OATP1B1	Glyburide		0.26	Cerivastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23652407/
OATP1B1	Glyburide		2.99	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23248200/
OATP1B1	Glyburide		1.4	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23652407/
OATP1B1	Glyburide		1.77	Rosuvastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23248200/
OATP1B1	Indomethacin	11	12	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/22541068/
OATP1B1	Irbesartan		4.65	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/29748863/
OATP1B1	Ketoconazole	11.5		Dichlorofluorescein	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26696140/
OATP1B1	Ketoconazole		1.8	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26668209/
OATP1B1	Lesinurad		9.3	Bromsulphthalein (BSP)	MDCK II-OAT1B1	https://pubmed.ncbi.nlm.nih.gov/26951201/
OATP1B1	Levothyroxine		0.88	Cerivastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23652407/
OATP1B1	Levothyroxine		2.04	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23652407/
OATP1B1	Linezolid		65.9	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26976869/
OATP1B1	Lopinavir	0.32	0.74	Atorvastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/21861202/
OATP1B1	Lovastatin (acid)		4	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/15616150/
OATP1B1	Lovastatin (lactone)		28	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/15616150/
OATP1B1	Metronidazole		>100	Fluorescein-Methotrexate	CHO-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/20448812
OATP1B1	Montelukast		2.04	Cerivastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23652407/
OATP1B1	Montelukast		1.4	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23652407/
OATP1B1	Moricizine		8.1	Fluorescein-Methotrexate	CHO-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/20448812
OATP1B1	Nilotinib		2.78	Estrone 3-sulfate	CHO-OATP1B1	ncbi.nlm.nih.gov/pubmed/24807167
OATP1B1	Nisoldipine	7.4		Estradiol-17beta-glucuronide	HEK-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/22534868
OATP1B1	Octreotide		24.1	Estradiol-17beta-glucuronide	CHO-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26330539/
OATP1B1	Olaparib		20.3	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/27684210/
OATP1B1	Olaparib		27.1	Pravastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/27684210/
OATP1B1	Pazopanib		3.89	Estrone 3-sulfate	CHO-OATP1B1	ncbi.nlm.nih.gov/pubmed/24807167
OATP1B1	Pioglitazone		39.6	Cerivastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23652407/
OATP1B1	Pioglitazone		5.09	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23248200/
OATP1B1	Pioglitazone		6.8	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23652407/
OATP1B1	Pioglitazone		32.2	Rosuvastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23248200/
OATP1B1	Pravastatin	3.4	3.6	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/22541068/
OATP1B1	Pravastatin (acid)		>100	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/15616150/
OATP1B1	Probenecid	39.8		Dichlorofluorescein	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26696140/
OATP1B1	Progesterone		5.4	Fluorescein-Methotrexate	CHO-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/20448812
OATP1B1	Ramipril		4	Fluorescein-Methotrexate	CHO-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/20448812
OATP1B1	Repaglinide		0.32	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/17901929
OATP1B1	Repaglinide		1.1	Fluorescein-Methotrexate	CHO-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/20448812
OATP1B1	Rifabutin		35.4	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26976869/
OATP1B1	Rifampicin		3.2	Bosentan	CHO-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/17496208/
OATP1B1	Rifampicin		11.9	Bromsulphthalein (BSP)	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/20406852/
OATP1B1	Rifampicin		5.65	Cerivastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23652407/
OATP1B1	Rifampicin	6.75		Cilostazol	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/28535976/
OATP1B1	Rifampicin	0.355		Dichlorofluorescein	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26696140/
OATP1B1	Rifampicin	1.1	1.2	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/22541068/
OATP1B1	Rifampicin		0.24	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/28373111/
OATP1B1	Rifampicin		10.46	Estrone 3-sulfate	CHO-OATP1B1	ncbi.nlm.nih.gov/pubmed/24807167
OATP1B1	Rifampicin		0.88	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23652407/
OATP1B1	Rifampicin		1.9	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26976869/
OATP1B1	Rifampicin		1.3	Fluorescein-Methotrexate	CHO-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/20448812
OATP1B1	Rifampicin		8.8	Lithocholyl-(Ne-NBD)-lysine	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/21372390/
OATP1B1	Rifamycin SV		0.23	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/15616150/
OATP1B1	Rifapentine		26.7	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26976869/
OATP1B1	Rilpivirine		4.1	8-fluoresceinÐcAMP	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23428312/
OATP1B1	Ritonavir	0.32		Dichlorofluorescein	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26696140/
OATP1B1	Ritonavir	1.3	1.3	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/22541068/
OATP1B1	Ritonavir		0.68	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26668209/
OATP1B1	Rosiglitazone		43.4	Cerivastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23652407/
OATP1B1	Rosiglitazone		4.27	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23652407/
OATP1B1	Roxithromycin		153	Bromsulphthalein (BSP)	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/17296622/
OATP1B1	Sacubitril		1.91	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/27321165/
OATP1B1	Sildenafil		1.5	Bosentan	CHO-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/17496208/
OATP1B1	Simeprevir		0.72	Estradiol-17beta-glucuronide	CHO-OATP1B1	http://www.hivandhepatitis.com/2010_conference/aasld/posters/Huisman.pdf
OATP1B1	Simvastatin (acid)		3.6	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/15616150/
OATP1B1	Simvastatin (lactone)		9.7	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/15616150/
OATP1B1	Sirolimus		6.49	Bromsulphthalein (BSP)	HEK-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/20220747
OATP1B1	Sirolimus		0.22	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/31047942/
OATP1B1	Sirolimus		0.65	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/31047942/
OATP1B1	Sirolimus		0.32	Rosuvastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/31047942/
OATP1B1	Sorafenib		0.0696	Docetaxel	T-Rex293-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/24398510/
OATP1B1	Sulfasalazine	0.53	0.56	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/22541068/
OATP1B1	Sulfinpyrazone	32		Estradiol-17beta-glucuronide	HEK-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/22534868
OATP1B1	Tacrolimus	0.533		Dichlorofluorescein	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26696140/
OATP1B1	Telithromycin		121	Bromsulphthalein (BSP)	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/17296622/
OATP1B1	Telmisartan	4.88		Cilostazol	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/28535976/
OATP1B1	Tipranavir	1.1		Estradiol-17beta-glucuronide	HEK-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/22534868
OATP1B1	Tolbutamide		368	Rosuvastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23248200/
OATP1B1	Trimethoprim	>100		Estradiol-17beta-glucuronide	HEK-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/22534868
OATP1B1	Ursodeoxycholic acid	10		Estradiol-17beta-glucuronide	HEK-OATP1B1	https://www.ncbi.nlm.nih.gov/pubmed/22534868
OATP1B1	Valsartan		14.98	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/29748863/
OATP1B1	Venetoclax		47.8	8-fluoresceinÐcAMP	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26927160/
OATP1B1	Verapamil		>100	Cerivastatin	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23652407/
OATP1B1	Verapamil	15.3		Dichlorofluorescein	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/26696140/
OATP1B1	Verapamil		75.7	Estrone 3-sulfate	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/23652407/
OATP1B1	Vincristine	42	44	Estradiol-17beta-glucuronide	HEK-OATP1B1	https://pubmed.ncbi.nlm.nih.gov/22541068/
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
