Transporter	Inhibitor	IC50 (_M)	Ki (_M)	Substrate used	Cell System	Reference
OCTN2	Cephaloridine	230		L-carnitine	HeLa-hOCTN2	https://www.jbc.org/content/275/3/1699.long
OCTN2	Cefepime	1700		L-carnitine	HeLa-hOCTN2	https://www.jbc.org/content/275/3/1699.long
OCTN2	Cefoselis	6400		L-carnitine	HeLa-hOCTN2	https://www.jbc.org/content/275/3/1699.long
OCTN2	Atenolol		3000	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Atropine		3000	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Lomefloxacin		3000	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Acyclovir		3000	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Pramipexole		3000	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Guanosine		3000	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Hydrochlorothiazide		3000	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Sulfanilamide		3000	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Roxithromycin		333	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Reserpine		32.2	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Cisapride		66.7	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Penfluridol		26.5	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Vincristine		15.9	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Propafenone		74.2	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Cetirizine		79.8	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Nizatidine		183	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Daunorubicin		502	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Cephaloridine		379	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Vinorelbine		26.8	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Irinotecan		219	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Risperidone		114	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Erythromycin		2870	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Ritonavir		7.73	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Ezetimibe		29.3	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Simvastatin		12.4	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Furosemide		1350	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Procainamide		1400	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Metformin		2050	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Zidovudine		2140	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Lamivudine		2590	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Ketorolac		1530	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Gabapentin		1700	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Levofloxacin		1890	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Succinylcholine		2700	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Procarbazine		2520	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2997942/
OCTN2	Verapamil		5.3	L-carnitine	L6-hOCTN2	https://link.springer.com/content/pdf/10.1007/s00018-008-8065-7.pdf
OCTN2	Cefazolin		6740	L-carnitine	L6-hOCTN2	https://link.springer.com/content/pdf/10.1007/s00018-008-8065-7.pdf
OCTN2	Cefuroxime		525	L-carnitine	L6-hOCTN2	https://link.springer.com/content/pdf/10.1007/s00018-008-8065-7.pdf
OCTN2	Cephalexin		3037	L-carnitine	L6-hOCTN2	https://link.springer.com/content/pdf/10.1007/s00018-008-8065-7.pdf
OCTN2	L-carnitine	3.7		L-carnitine	BeWo cells expressing OCTN2	http://jpet.aspetjournals.org/content/312/1/192.long
OCTN2	Acetyl-DL-carnitine	15.7		L-carnitine	BeWo cells expressing OCTN2	http://jpet.aspetjournals.org/content/312/1/192.long
OCTN2	D-carnitine	16.5		L-carnitine	BeWo cells expressing OCTN2	http://jpet.aspetjournals.org/content/312/1/192.long
OCTN2	Tetraethylammonium	1200		L-carnitine	BeWo cells expressing OCTN2	http://jpet.aspetjournals.org/content/312/1/192.long
OCTN2	MPP+	1700		L-carnitine	BeWo cells expressing OCTN2	http://jpet.aspetjournals.org/content/312/1/192.long
OCTN2	Sodium valproate	2600		L-carnitine	BeWo cells expressing OCTN2	http://jpet.aspetjournals.org/content/312/1/192.long
OCTN2	Methamphetamine	2300		L-carnitine	BeWo cells expressing OCTN2	http://jpet.aspetjournals.org/content/312/1/192.long
OCTN2	Ephedrine	2700		L-carnitine	BeWo cells expressing OCTN2	http://jpet.aspetjournals.org/content/312/1/192.long
OCTN2	Chloroephedrine	4800		L-carnitine	BeWo cells expressing OCTN2	http://jpet.aspetjournals.org/content/312/1/192.long
OCTN2	Amphetamine	6000		L-carnitine	BeWo cells expressing OCTN2	http://jpet.aspetjournals.org/content/312/1/192.long
OCTN2	Norephedrine	7100		L-carnitine	BeWo cells expressing OCTN2	http://jpet.aspetjournals.org/content/312/1/192.long
OCTN2	_ - ephedrine	4200		L-carnitine	BeWo cells expressing OCTN2	http://jpet.aspetjournals.org/content/312/1/192.long
OCTN2	nor-_-ephedrine	9200		L-carnitine	BeWo cells expressing OCTN2	http://jpet.aspetjournals.org/content/312/1/192.long
OCTN2	Vinblastine		4.85	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Carvedilol		10.7	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Raloxifene		13.8	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Bromocriptine		16.6	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Verapamil		17.6	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Propantheline		20.4	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Thioridazine		23	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Clozapine		47.3	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Prochlorperazine		51.3	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Desloratadine		53.3	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Trifluoperazine		67.3	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Amlodipine		96	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Duloxetine		118	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Cerivastatin		425	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Amiodarone		5.72	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Nelfinavir		29.2	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Thioridazine		23	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Rifampin		1150	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Succinylcholine		2700	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Gefitinib		29	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Tamoxifen		20	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Levofloxacin		1900	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Lomefloxacin		4000	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Lamivudine		2590	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Ketorolac		1530	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Acyclovir		5130	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Procarbazine		2520	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Erythromycin		2870	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Hydrochlorothiazide		4110	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Atenolol		8000	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Selegiline		1230	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Atropine		4000	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Zidovudine		2140	L-carnitine	MDCKII-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2891772/
OCTN2	Etoposide	55		L-carnitine	LLC-PK1-hOCTN2	https://mct.aacrjournals.org/content/11/4/921
OCTN2	Verapamil	21.4		ethambutol	HEK293-hOCTN2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6125539/
OCTN2	Tetraethylammonium		80	L-carnitine	HRPE-hOCTN2	http://jpet.aspetjournals.org/content/290/3/1482.long
OCTN2	L-carnitine		11.8	L-carnitine	HRPE-hOCTN2	http://jpet.aspetjournals.org/content/290/3/1482.long
