Transporter	Inhibitor	IC50 (_M)	Ki (_M)	Substrate used	Cell System	Reference	
OATP1B3	Darolutamide	39.3		Atorvastatin	HEK293-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/31571146/	31571146
OATP1B3	Dovtinib	105.2		8-fluorescein–cAMP	HEK293-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/25521244/	25521244
OATP1B3	Everolimus	3.7		mycophenolic acid 7-O-glucuronide	HEK293-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/31047942/	31047942
OATP1B3	Sirolimus	1.3		mycophenolic acid 7-O-glucuronide	HEK293-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/31047942/	31047942
OATP1B3	Mifepristone	5.3		estradiol-17_-glucuronide	CHO-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/18321482/	18321482
OATP1B3	Mevinolin	92.6		estradiol-17_-glucuronide	CHO-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/18321482/	18321482
OATP1B3	Carbamazepine	510		estradiol-17_-glucuronide	CHO-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/18321482/	18321482
OATP1B3	Troglitazone	15.7		estradiol-17_-glucuronide	CHO-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/18321482/	18321482
OATP1B3	Penicillin G 	25		Amanitin	MDCKII-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/16495352/	16495352
OATP1B3	Montelukast 	15		Amanitin	MDCKII-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/16495352/	16495352
OATP1B3	Paclitaxel	2		Amanitin	MDCKII-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/16495352/	16495352
OATP1B3	Rifampicin 	0.8		Amanitin	MDCKII-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/16495352/	16495352
OATP1B3	Antamanide 	0.7		Amanitin	MDCKII-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/16495352/	16495352
OATP1B3	Cyclosporin A	0.3		Amanitin	MDCKII-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/16495352/	16495352
OATP1B3	Prednisolone phosphate 	75		Amanitin	MDCKII-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/16495352/	16495352
OATP1B3	Tolbutamide	10		CCK-8	MDCKII-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/24150606/	24150606
OATP1B3	Nateglinide	45.6		CCK-8	MDCKII-OATP1B3	https://pubmed.ncbi.nlm.nih.gov/24150606/	24150606
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
